,influencer_name,follower_name
344,The Beatles,The Apples in Stereo
345,Joe Jackson,Smash Mouth
346,Fishbone,Smash Mouth
347,Red Hot Chili Peppers,Smash Mouth
348,Neneh Cherry,Tricky
349,Depeche Mode,Tricky
350,Gary Numan,Tricky
351,Deftones,Skindred
352,Pretenders,Sleater-Kinney
353,The Slits,Sleater-Kinney
354,X-Ray Spex,Sleater-Kinney
355,Bratmobile,Sleater-Kinney
356,Hole,Sleater-Kinney
357,Patti Smith,Sleater-Kinney
358,Sonic Youth,Sleater-Kinney
359,Bikini Kill,Sleater-Kinney
360,The Go-Betweens,Sleater-Kinney
361,Gang of Four,Skindred
362,Elastica,Sleater-Kinney
363,Sebadoh,The Apples in Stereo
364,Van Dyke Parks,The Apples in Stereo
365,The Left Banke,The Apples in Stereo
366,Silver Apples,The Apples in Stereo
367,Public Image Ltd.,Skindred
368,The Police,Skindred
369,311,Skindred
370,Anthrax,Skindred
371,Helmet,Skindred
372,Fugazi,Sleater-Kinney
373,Ted Nugent,Andrew W.K.
374,Boston,Smashing Pumpkins
375,Guns N' Roses,Andrew W.K.
376,Andy Black,Steve Miller Band
377,Joan Jett & the Blackhearts,Shonen Knife
378,Crazy Horse,Pearl Jam
379,Queen,Smashing Pumpkins
380,Judas Priest,Smashing Pumpkins
381,Van Halen,Smashing Pumpkins
382,Joy Division,Smashing Pumpkins
383,Pink Floyd,Smashing Pumpkins
384,Jimi Hendrix,Smashing Pumpkins
385,Neil Young,Smashing Pumpkins
386,David Bowie,Smashing Pumpkins
387,The Who,Smashing Pumpkins
388,Thin Lizzy,Smashing Pumpkins
389,Big Black,Smashing Pumpkins
390,Black Sabbath,Smashing Pumpkins
391,Jane's Addiction,Smashing Pumpkins
392,Ric Ocasek,Smashing Pumpkins
393,Beat Happening,Shonen Knife
394,Styx,Smashing Pumpkins
395,Leonard Cohen,Swans
396,The Birthday Party,Swans
397,Violent Femmes,Soul Coughing
398,Warren Zevon,Soul Coughing
399,Tom Petty,Steve Earle
400,John Prine,Steve Earle
401,Levon Helm,Steve Earle
402,Ronnie Lane,Steve Earle
403,The Rolling Stones,Steve Earle
404,Gram Parsons,Steve Earle
405,Spandau Ballet,Paul Young
406,Boz Scaggs,Paul Young
407,Joe Cocker,Paul Young
408,My Bloody Valentine,Smashing Pumpkins
409,Rod Stewart,Paul Young
410,The Fleetwoods,The Belmonts
411,Pearl Jam,Paw
412,"Blood, Sweat & Tears",Soul Coughing
413,King Missile,Soul Coughing
414,Talking Heads,Soul Coughing
415,Lou Reed,Soul Coughing
416,R.E.M.,Soul Coughing
417,Primus,Soul Coughing
418,They Might Be Giants,Soul Coughing
419,ABC,Paul Young
420,Bruce Springsteen,Steve Earle
421,Jimi Hendrix,Sonny Sharrock
422,The Beatles,The Bellamy Brothers
423,Morrissey,Smoking Popes
424,The Smiths,Smoking Popes
425,T. Rex,Smashing Pumpkins
426,Tears for Fears,Smashing Pumpkins
427,Blondie,Smashing Pumpkins
428,Big Star,Smashing Pumpkins
429,The Cars,Smashing Pumpkins
430,Blue Ã–yster Cult,Smashing Pumpkins
431,Electric Light Orchestra,The Beautiful South
432,Cheap Trick,Smashing Pumpkins
433,The Cure,Smashing Pumpkins
434,Led Zeppelin,Smashing Pumpkins
435,Jackson Browne,Paul Westerberg
436,Johnny Thunders,Paul Westerberg
437,The Ronettes,Patty Smyth
438,The Zombies,Bee Gees
439,Bonnie Raitt,Susan Tedeschi
440,Janis Joplin,Susan Tedeschi
441,Eric Clapton,Susan Tedeschi
442,AC/DC,Smoking Popes
443,7 Seconds,Smoking Popes
444,The Replacements,Smoking Popes
445,The Housemartins,Smoking Popes
446,Brewer & Shipley,The Bellamy Brothers
447,The Band,Pearl Jam
448,Blue Ã–yster Cult,Pearl Jam
449,Bad Company,Pearl Jam
450,Kiss,Pearl Jam
451,Cream,Pearl Jam
452,The Doors,Pearl Jam
453,Depeche Mode,Smashing Pumpkins
454,Dinosaur Jr.,Smashing Pumpkins
455,The Everly Brothers,The Bellamy Brothers
456,Ride,Smashing Pumpkins
457,Jonathan Richman,Shonen Knife
458,The Shangri-Las,Shonen Knife
459,Ramones,Shonen Knife
460,Sonic Youth,Shonen Knife
461,The Go-Go's,Shonen Knife
462,Black Sabbath,Shonen Knife
463,Dire Straits,Shooter Jennings
464,Lynyrd Skynyrd,Shooter Jennings
465,Elvis Costello,Smoking Popes
466,Gary Numan,Smashing Pumpkins
467,Chrome,Swans
468,The Durutti Column,Swans
469,Joy Division,Swans
470,Jawbreaker,Alkaline Trio
471,Propagandhi,Alkaline Trio
472,Big Star,Paul Westerberg
473,Faces,Paul Westerberg
474,Elvis Costello,Paul Westerberg
475,Bob Dylan,Paul Westerberg
476,Cheap Trick,Paul Westerberg
477,Suicide,The Associates
478,Scott Walker,The Associates
479,Sparks,The Associates
480,The Beatles,Simon & Garfunkel
481,Chuck Berry,The Band
482,Duane Eddy,The Band
483,Jerry Lee Lewis,The Band
484,Ronnie Hawkins,The Band
485,The Byrds,The Band
486,Carl Perkins,The Band
487,Buffalo Springfield,The Band
488,Sparks,Soft Cell
489,Avail,Alkaline Trio
490,Ramones,Alkaline Trio
491,The Offspring,Alkaline Trio
492,Operation Ivy,Alkaline Trio
493,The Bobby Fuller Four,Social Distortion
494,The Everly Brothers,The Band
495,Bo Diddley,The Band
496,Bob Dylan,The Band
497,Screeching Weasel,Alkaline Trio
498,David Bowie,The Associates
499,Brian Eno,The Associates
500,Roxy Music,The Associates
501,Smoking Popes,Alkaline Trio
502,Gary Numan,Soft Cell
503,Social Distortion,Alkaline Trio
504,The Cure,Alkaline Trio
505,The Damned,Alkaline Trio
506,Everclear,Alkaline Trio
507,Green Day,Alkaline Trio
508,Hot Water Music,Alkaline Trio
509,Pegboy,Alkaline Trio
510,Naked Raygun,Alkaline Trio
511,Bobby Charles,The Band
512,Minor Threat,Alkaline Trio
513,Bad Religion,Alkaline Trio
514,Scott Walker,Soft Cell
515,Suicide,Soft Cell
516,David Bowie,Soft Cell
517,Janis Joplin,Maria Muldaur
518,Bad Brains,Sick of It All
519,Black Flag,Sick of It All
520,Negative Approach,Sick of It All
521,Minor Threat,Sick of It All
522,Murphy's Law,Sick of It All
523,The Beach Boys,Shonen Knife
524,Cro-Mags,Sick of It All
525,Agnostic Front,Sick of It All
526,Barry Manilow,Peabo Bryson
527,Gorilla Biscuits,Sick of It All
528,Bob Dylan,Steve Harley
529,Billy Fury,Steve Harley
530,The Kinks,Steve Harley
531,Elvis Presley,Steve Harley
532,David Bowie,Steve Harley
533,The Beatles,Steve Harley
534,The Rolling Stones,Steve Harley
535,Bauhaus,Shriekback
536,Public Image Ltd.,Swans
537,Sonny & Cher,Peaches & Herb
538,Melissa Etheridge,Susan Tedeschi
539,DNA,Swans
540,Wire,Swans
541,Silver Apples,Soft Cell
542,Gloria Jones,Soft Cell
543,Roxy Music,Soft Cell
544,Iggy Pop,Soft Cell
545,Tracy Chapman,Angie Stone
546,Lenny Kravitz,Angie Stone
547,The Beach Boys,Simon & Garfunkel
548,The Everly Brothers,Simon & Garfunkel
549,Bob Dylan,Simon & Garfunkel
550,Throbbing Gristle,Swans
551,Elvis Presley,Simon & Garfunkel
552,Dion,Simon & Garfunkel
553,The Byrds,Simon & Garfunkel
554,Dead Boys,Pearl Jam
555,Led Zeppelin,Pearl Jam
556,Creedence Clearwater Revival,Pearl Jam
557,Ramones,Sick of It All
558,Suicide,Swans
559,Tom Waits,Swans
560,Cabaret Voltaire,Swans
561,Jan & Dean,Simon & Garfunkel
562,AC/DC,Andrew W.K.
563,Stevie Ray Vaughan,Susan Tedeschi
564,The Beach Boys,Bee Gees
565,The Replacements,The Ataris
566,311,The Ataris
567,Built to Spill,The Ataris
568,Dag Nasty,The Ataris
569,HÃ¼sker DÃ¼,The Ataris
570,Down by Law,The Ataris
571,Pixies,Swell
572,Richard Hell,The Ataris
573,The Smiths,The Ataris
574,The Vandals,The Ataris
575,Leonard Cohen,Songs: Ohia
576,"Bonnie ""Prince"" Billy",Songs: Ohia
577,Lou Reed,Songs: Ohia
578,Neil Young,Songs: Ohia
579,Red House Painters,Songs: Ohia
580,David Bowie,Songs: Ohia
581,Tom Waits,Songs: Ohia
582,Joy Division,Swell
583,R.E.M.,Swell
584,Nirvana,The Ataris
585,NOFX,The Ataris
586,Pennywise,The Ataris
587,Weezer,The Ataris
588,Melissa Etheridge,Beth Hart
589,Big Brother & the Holding Company,Beth Hart
590,Stevie Nicks,Beth Hart
591,Alice Cooper,The Birthday Party
592,The Fall,The Birthday Party
593,The Doors,The Birthday Party
594,Chrome,The Birthday Party
595,Lou Reed,The Birthday Party
596,Scott Walker,The Birthday Party
597,Everclear,The Ataris
598,Joy Division,The Birthday Party
599,Sex Pistols,The Birthday Party
600,Suicide,The Birthday Party
601,The Beatles,The Blues Project
602,Chuck Berry,The Blues Project
603,Bob Dylan,The Blues Project
604,Lagwagon,The Ataris
605,Green Day,The Ataris
606,Descendents,The Ataris
607,Less Than Jake,The Ataris
608,Public Image Ltd.,The Birthday Party
609,Janis Joplin,Beth Hart
610,Barenaked Ladies,The Ataris
611,Social Distortion,The Ataris
612,Wishbone Ash,Survivor
613,Sonic Youth,Swell
614,Brian Eno,Steve Roach
615,The Beatles,The Beach Boys
616,Ramones,Andrew W.K.
617,Bon Jovi,Andrew W.K.
618,Billy Idol,Andrew W.K.
619,Kiss,Andrew W.K.
620,Billy Squier,Andrew W.K.
621,Twisted Sister,Andrew W.K.
622,Europe,Andrew W.K.
623,MC5,Andrew W.K.
624,David Lee Roth,Andrew W.K.
625,Van Halen,Andrew W.K.
626,Napalm Death,Andrew W.K.
627,Ozzy Osbourne,Andrew W.K.
628,Obituary,Andrew W.K.
629,MÃ¶tley CrÃ¼e,Andrew W.K.
630,Pantera,The Black Dahlia Murder
631,Journey,Survivor
632,Boston,Survivor
633,Bad Company,Survivor
634,Accept,Soilwork
635,Tom Petty,Paul Westerberg
636,Ronnie Lane,Paul Westerberg
637,Mick Jagger,Paul Westerberg
638,The Rolling Stones,Paul Westerberg
639,Supergrass,The Bluetones
640,Pulp,The Bluetones
641,Oasis,The Bluetones
642,The Stone Roses,The Bluetones
643,The Beatles,The Bluetones
644,Face to Face,The Ataris
645,Blur,The Bluetones
646,Pantera,Soilwork
647,Slayer,Soilwork
648,In Flames,Soilwork
649,Bathory,Soilwork
650,Judas Priest,Soilwork
651,Metallica,Soilwork
652,Meshuggah,Soilwork
653,At the Gates,Soilwork
654,Entombed,Soilwork
655,The Smiths,The Bluetones
656,Pat Benatar,Beth Hart
657,Bonnie Raitt,Beth Hart
658,Iggy Pop,Blondie
659,Incubus,Audiovent
660,Jimi Hendrix,Steven Halpern
661,Brian Eno,Steven Halpern
662,Stereolab,The Beta Band
663,Soul Coughing,The Beta Band
664,The Flaming Lips,The Beta Band
665,Beck,The Beta Band
666,Radiohead,The Beta Band
667,Pink Floyd,The Beta Band
668,Primal Scream,The Beta Band
669,Can,The Beta Band
670,The Beatles,The Beta Band
671,The Beatles,Sonny & Cher
672,Silver Apples,The Beta Band
673,Blur,The Beta Band
674,Talk Talk,The Beta Band
675,Jethro Tull,The Beta Band
676,The United States of America,The Beta Band
677,The Everly Brothers,Sonny & Cher
678,The Rolling Stones,The Blues Project
679,Pavement,The Beta Band
680,The Only Ones,Paul Westerberg
681,The Fleetwoods,Sonny & Cher
682,The Everly Brothers,Bee Gees
683,The Hollies,Bee Gees
684,Carole King,Bee Gees
685,Elvis Presley,Bee Gees
686,Buddy Holly,Bee Gees
687,The Beatles,Bee Gees
688,Kiss,Angel
689,The Dave Clark Five,Bee Gees
690,Roy Orbison,Bee Gees
691,Bob Dylan,Sonny & Cher
692,The Rolling Stones,Bee Gees
693,Elvis Costello,Angela McCluskey
694,Dusty Springfield,Angela McCluskey
695,The Cardigans,Angela McCluskey
696,Beth Orton,Angela McCluskey
697,Pablo Cruise,Steve Wariner
698,The Doobie Brothers,Steve Wariner
699,The Beatles,Steve Wariner
700,T. Rex,Blondie
701,Deep Purple,Angel
702,Chicago,Steven Curtis Chapman
703,Jan & Dean,Sonny & Cher
704,Dion,Sonny & Cher
705,The Shangri-Las,Sonny & Cher
706,Santana,Steve Vai
707,Jimi Hendrix,Steve Vai
708,Joe Satriani,Steve Vai
709,Robin Trower,Steve Vai
710,Queen,Steve Vai
711,King Crimson,The Mars Volta
712,Frank Zappa,The Mars Volta
713,Led Zeppelin,The Mars Volta
714,Pere Ubu,The Birthday Party
715,Van Halen,Steve Vai
716,Swell Maps,The Birthday Party
717,The Stooges,The Birthday Party
718,The Ronettes,Blondie
719,David Bowie,Blondie
720,The Chocolate Watchband,Blondie
721,The Velvet Underground,Blondie
722,Roxy Music,Blondie
723,New York Dolls,Blondie
724,Nico,Blondie
725,The Rolling Stones,Blondie
726,Patti Smith,The Birthday Party
727,Big Brother & the Holding Company,Susan Tedeschi
728,Jeff Beck,Steve Vai
729,Deep Purple,Steve Vai
730,The Righteous Brothers,Sonny & Cher
731,The Byrds,Sonny & Cher
732,Suzi Quatro,Blondie
733,The Beach Boys,Blondie
734,The Shangri-Las,Blondie
735,Jack Bruce,Steve Vai
736,Iggy Pop,The Birthday Party
737,Captain Beefheart,The Birthday Party
738,Eric Clapton,Sonny Landreth
739,Robert Fripp,Steve Vai
740,Tony Joe White,Sonny Landreth
741,Los Lobos,Branford Marsalis
742,Alice Cooper,Steve Vai
743,Steve Howe,Steve Vai
744,Jimmy Page,Steve Vai
745,Frank Zappa,Steve Vai
746,Led Zeppelin,Steve Vai
747,Eddie Van Halen,Steve Vai
748,Eric Clapton,Steve Vai
749,The Music Machine,Blondie
750,Georgie Fame,Steve Winwood
751,Orange Juice,The Beautiful South
752,Body Count,Staind
753,10cc,The Beautiful South
754,Buddy Holly,Flamin' Groovies
755,The Byrds,Flamin' Groovies
756,The Beatles,Flamin' Groovies
757,Eddie Cochran,Flamin' Groovies
758,The Charlatans,Flamin' Groovies
759,Little Richard,Flamin' Groovies
760,The Rolling Stones,Flamin' Groovies
761,Ian Hunter,Graham Parker & the Rumour
762,Ronnie Lane,Graham Parker & the Rumour
763,Frank Black,Dave Grohl
764,Peter Criss,Dave Grohl
765,Bob Dylan,Graham Parker
766,Limp Bizkit,Flaw
767,Jack Nitzsche,Graham Parker
768,Eric Burdon,Graham Parker
769,Dr. Feelgood,Graham Parker
770,Van Morrison,Graham Parker
771,The Rolling Stones,Graham Parker
772,The Kinks,David Johansen
773,MC5,Flamin' Groovies
774,The Band,Graham Parker
775,Nick Drake,David Sylvian
776,Bryan Ferry,David Sylvian
777,Bruce Springsteen,Don Henley
778,The Byrds,Don Henley
779,The Beatles,Don Henley
780,Elton John,Don Henley
781,Leon Russell,Don Henley
782,Warren Zevon,Don Henley
783,Roger McGuinn,Don Henley
784,Buffalo Springfield,Don Henley
785,Eagles,Emerson Drive
786,Chuck Berry,David Johansen
787,Poco,Emerson Drive
788,Billy Bragg,Great Big Sea
789,The Pogues,Great Big Sea
790,Hothouse Flowers,Great Big Sea
791,The Waterboys,Great Big Sea
792,Faces,U.K. Subs
793,The Clash,U.K. Subs
794,The Kinks,U.K. Subs
795,Sex Pistols,U.K. Subs
796,David Bowie,David Sylvian
797,Orleans,Emerson Drive
798,Randy Newman,Don Henley
799,Bryan Ferry,David Johansen
800,The Animals,David Johansen
801,Yes,Tortoise
802,Slint,Tortoise
803,Soft Machine,Tortoise
804,Sonic Youth,Tortoise
805,Big Black,Tortoise
806,Liquid Liquid,Tortoise
807,Bo Diddley,Flamin' Groovies
808,The Rolling Stones,David Johansen
809,Tool,Flaw
810,Robert Wyatt,David Sylvian
811,Bee Gees,Fleetwood Mac
812,The Fugs,MC5
813,The Kingsmen,MC5
814,Little Richard,MC5
815,The Rolling Stones,MC5
816,Them,MC5
817,Barry Manilow,Jason Donovan
818,Michael Bolton,Jason Donovan
819,Brian Hyland,Jason Donovan
820,Can,Tortoise
821,David Axelrod,Tortoise
822,Brian Eno,Tortoise
823,The Red Krayola,Tortoise
824,The Velvet Underground,David Johansen
825,Mick Jagger,David Johansen
826,The Beau Brummels,Flamin' Groovies
827,Chuck Berry,Flamin' Groovies
828,The Kinks,Flamin' Groovies
829,The Hollies,Flamin' Groovies
830,James Taylor,Edie Brickell
831,Janis Ian,Edie Brickell
832,R.E.M.,Edie Brickell
833,The Stooges,David Johansen
834,Suzanne Vega,Edie Brickell
835,The Beach Boys,Don McLean
836,Bob Dylan,Don McLean
837,Del Shannon,Don McLean
838,Ritchie Valens,Don McLean
839,Buddy Holly,Don McLean
840,The Beatles,Don McLean
