influencer_name,follower_name
Ramblin' Jack Elliott,Fred Neil
Ewan MacColl,Planxty
The Kingston Trio,Joan Baez
Woody Guthrie,Harry Belafonte
Hazel Dickens,Rhonda Vincent
The Roches,Dan Bern
Pentangle,Faces
Lucinda Williams,Taj Mahal
The Incredible String Band,The Waterboys
Elizabeth Cotten,Taj Mahal
Shel Silverstein,Dan Bern
Sandy Denny,Loreena McKennitt
Steeleye Span,Loreena McKennitt
John Jacob Niles,Judy Henske
Woody Guthrie,Joe Ely
Townes Van Zandt,Joe Ely
Joan Baez,Janis Ian
Doc Watson,Tom Paxton
Odetta,Tim Buckley
Woody Guthrie,The Boomtown Rats
Loudon Wainwright III,Dan Bern
Jean Ritchie,Janis Ian
Ian & Sylvia,Daniel Lanois
Fred Neil,Madeleine Peyroux
"Peter, Paul and Mary",Janis Ian
Judy Collins,Janis Ian
Odetta,Janis Ian
Tom Paxton,Janis Ian
Pentangle,Mary Black
Tom Paxton,James Taylor
Ewan MacColl,Tom Paxton
Michael Hurley,Cat Power
John Martyn,Damien Rice
Buffy Sainte-Marie,Kimya Dawson
Joan Baez,Cheryl Wheeler
Davy Graham,Tim Buckley
Bert Jansch,Jimmy Page
Ian & Sylvia,Crystal Shawanda
Woody Guthrie,Bob Dylan
Ian & Sylvia,Joni Mitchell
Fred Neil,Joni Mitchell
Pete Seeger,Joni Mitchell
Tom Paxton,Gram Parsons
The Incredible String Band,Boards of Canada
Karen Dalton,Joni Mitchell
Ewan MacColl,The Corrs
Tom Paxton,Guy Clark
Ramblin' Jack Elliott,Guy Clark
Woody Guthrie,Joni Mitchell
Peggy Seeger,Joni Mitchell
Davy Graham,Ronnie Lane
Woody Guthrie,Gram Parsons
The Roches,Celtic Woman
Cisco Houston,Buffy Sainte-Marie
Joan Baez,Joni Mitchell
The New Lost City Ramblers,Buffy Sainte-Marie
Ramblin' Jack Elliott,Buffy Sainte-Marie
Woody Guthrie,Buffy Sainte-Marie
Malvina Reynolds,Buffy Sainte-Marie
Odetta,Buffy Sainte-Marie
Loudon Wainwright III,Ben Lee
Hazel Dickens,Patty Loveless
Loudon Wainwright III,Lyle Lovett
Tom Paxton,Kenny Rogers
Woody Guthrie,Billy Bragg
Ramblin' Jack Elliott,Billy Bragg
Loreena McKennitt,Celtic Woman
Kate & Anna McGarrigle,Celtic Woman
The Lovin' Spoonful,Flamin' Groovies
"Peter, Paul and Mary",The Hooters
Pete Seeger,Tom Morello
Ewan MacColl,Roy Harper
Richie Havens,Rodriguez
Alan Lomax,Shirley Collins
Fred Neil,Ralph McTell
Fred Neil,Rodriguez
Phil Ochs,Roy Harper
Davy Graham,Roy Harper
Tom Paxton,Dolly Parton
Burl Ives,Melanie
Woody Guthrie,Dolly Parton
Michael Chapman,Glenn Jones
Jackson C. Frank,Ralph McTell
Leo Kottke,Will Ackerman
John Fahey,Glenn Jones
Ewan MacColl,Kirsty MacColl
Elizabeth Cotten,Mike Seeger
The Lovin' Spoonful,Grateful Dead
Joan Baez,Dar Williams
Gillian Welch,The Wreckers
Pete Seeger,Buffy Sainte-Marie
Buffy Sainte-Marie,Crystal Shawanda
Townes Van Zandt,Lyle Lovett
"Peter, Paul and Mary",America
Tom Paxton,Todd Snider
Sandy Denny,Noah and the Whale
John Fahey,Will Ackerman
Steeleye Span,Noah and the Whale
Ramblin' Jack Elliott,Melanie
Phil Ochs,Billy Bragg
Pete Seeger,Billy Bragg
John Martyn,The Innocence Mission
Burl Ives,Ian Tyson
Michael Hurley,Elliott Smith
Bert Jansch,Mike Oldfield
Elizabeth Cotten,Grateful Dead
The Incredible String Band,Jethro Tull
Hazel Dickens,Gillian Welch
Woody Guthrie,Ian Tyson
Ramblin' Jack Elliott,Ian Tyson
Burl Ives,"Peter, Paul and Mary"
Fred Neil,Nick Drake
Fred Neil,David Bromberg
John Fahey,Alex de Grassi
John Fahey,Richard Thompson
Townes Van Zandt,Justin Townes Earle
Jean Ritchie,"Peter, Paul and Mary"
Bert Jansch,Richard Thompson
The Kingston Trio,The Association
Bert Jansch,Nick Drake
Doc Watson,Mike Seeger
Pete Seeger,"Peter, Paul and Mary"
Ramblin' Jack Elliott,"Peter, Paul and Mary"
Doc Watson,Grateful Dead
Pete Seeger,Ian Tyson
Jean Ritchie,Mike Seeger
Cousin Emmy,Gillian Welch
Ramblin' Jack Elliott,Grateful Dead
Phil Ochs,Joe Strummer
The Lovin' Spoonful,Bread
Phil Ochs,Bobby Darin
Buffy Sainte-Marie,Mary Youngblood
Roscoe Holcomb,Mike Seeger
The New Christy Minstrels,The Association
The Lovin' Spoonful,Badfinger
Ewan MacColl,Billy Bragg
Roscoe Holcomb,Jim & Jesse
Pete Seeger,Jean Ritchie
Alan Lomax,Jean Ritchie
The Lovin' Spoonful,America
Kate & Anna McGarrigle,The Innocence Mission
Shirley Collins,Billy Bragg
John Renbourn,Mike Oldfield
Phil Ochs,The Clash
Vashti Bunyan,Cate Le Bon
Townes Van Zandt,Blaze Foley
Sandy Denny,Eva Cassidy
Lucinda Williams,Gillian Welch
Woody Guthrie,Joe Strummer
Loudon Wainwright III,Dar Williams
Jackson C. Frank,Nick Drake
Woody Guthrie,Grateful Dead
Richie Havens,Paul Weller
Kate & Anna McGarrigle,Dar Williams
Woody Guthrie,"Peter, Paul and Mary"
Ian & Sylvia,Ian Tyson
Bert Jansch,Iron and Wine
Judy Collins,Dar Williams
Judy Collins,Jewel
Davy Graham,Richard Thompson
Elizabeth Cotten,"Peter, Paul and Mary"
Lucinda Williams,Brett Dennen
Greg Brown,Gillian Welch
Dave Van Ronk,Bob Dylan
Dave Van Ronk,David Bromberg
The Limeliters,"Peter, Paul and Mary"
The New Lost City Ramblers,Terry Callier
Gordon Lightfoot,Bruce Cockburn
Woody Guthrie,Hank Williams
Gillian Welch,Josh Ritter
Ramblin' Jack Elliott,Michael Martin Murphey
Ramblin' Jack Elliott,Riders in the Sky
Spirit of the West,Mumford & Sons
Townes Van Zandt,Josh Ritter
Doc Watson,The Handsome Family
Bert Jansch,Dan Fogelberg
Joan Baez,Mary Chapin Carpenter
Lucinda Williams,Hayes Carll
Gordon Lightfoot,Dan Fogelberg
The Lovin' Spoonful,The dB's
The Kingston Trio,The Proclaimers
Judy Collins,Mary Chapin Carpenter
John Stewart,Mary Chapin Carpenter
Arlo Guthrie,Mary Chapin Carpenter
Townes Van Zandt,Hayes Carll
Townes Van Zandt,Terry Allen
Roscoe Holcomb,Bill Monroe
Ramblin' Jack Elliott,Terry Allen
Joan Baez,Linda Ronstadt
Ian & Sylvia,The Byrds
The Limeliters,The Byrds
Fred Neil,Linda Ronstadt
Tom Rush,Bruce Cockburn
Townes Van Zandt,Alejandro Escovedo
Buffy Sainte-Marie,Robert Mirabal
Davy Graham,Kevin Ayers
Elizabeth Cotten,John Fahey
Steve Goodman,The Postal Service
Alan Lomax,Bob Dylan
Davy Graham,Bill Fay
Woody Guthrie,Pete Seeger
Steve Goodman,David Allan Coe
June Tabor,Beth Orton
Loreena McKennitt,Beth Orton
Judy Collins,Eva Cassidy
Ewan MacColl,Bob Dylan
The Limeliters,Ian & Sylvia
Woody Guthrie,Hoyt Axton
Cisco Houston,Bob Dylan
Joan Baez,Eva Cassidy
John Fahey,Sonic Youth
Woody Guthrie,Uncle Tupelo
Bert Jansch,Stephen Malkmus
Doc Watson,Bob Dylan
Doc Watson,John Fahey
The Kingston Trio,Ian & Sylvia
Doc Watson,Jorma Kaukonen
Jean Ritchie,Bob Dylan
June Tabor,Eva Cassidy
Pete Seeger,Hoyt Axton
Roscoe Holcomb,John Fahey
Pete Steele,Pete Seeger
Ewan MacColl,Ian & Sylvia
Fred Neil,Hoyt Axton
Kate & Anna McGarrigle,Rufus Wainwright
Gordon Lightfoot,Eva Cassidy
Alan Lomax,The Fugs
Dave Van Ronk,The Fugs
The Incredible String Band,Kate & Anna McGarrigle
Alan Lomax,Moby
Tom Paxton,Jim Croce
Gordon Lightfoot,Marc Cohn
Hazel Dickens,Iris DeMent
Townes Van Zandt,Iris DeMent
Odetta,Harry Chapin
Joan Baez,Jewel
Pete Seeger,Melanie
Woody Guthrie,Harry Chapin
Pete Seeger,Bruce Springsteen
Phil Ochs,Harry Chapin
Pete Seeger,Harry Chapin
The Limeliters,Harry Chapin
Joan Baez,Melanie
Gordon Lightfoot,Jim Croce
Tom Rush,Jim Croce
Pete Seeger,Pink Floyd
Kate & Anna McGarrigle,Iris DeMent
The Limeliters,Jim Croce
Ian & Sylvia,Jim Croce
Townes Van Zandt,"Bonnie ""Prince"" Billy"
Woody Guthrie,The Clash
Dave Van Ronk,Ralph McTell
Phil Ochs,Melanie
Woody Guthrie,Tom Morello
Ewan MacColl,Enya
Cisco Houston,"Peter, Paul and Mary"
The Kingston Trio,"Peter, Paul and Mary"
Woody Guthrie,Jim Croce
Woody Guthrie,Bruce Springsteen
Roscoe Holcomb,Iris DeMent
Steeleye Span,The Pogues
John Martyn,Bruce Cockburn
Odetta,Terry Callier
Loudon Wainwright III,Rufus Wainwright
Malvina Reynolds,Kate & Anna McGarrigle
Pentangle,Kate & Anna McGarrigle
John Jacob Niles,Bob Dylan
Leo Kottke,Meat Puppets
Odetta,Bob Dylan
Ian & Sylvia,The Turtles
Townes Van Zandt,Charlie Robison
Ewan MacColl,Josh Ritter
Townes Van Zandt,The Cave Singers
The New Christy Minstrels,The Turtles
Bert Jansch,Ralph McTell
Woody Guthrie,The Cave Singers
Sandy Denny,Beth Orton
John Martyn,Beth Orton
Fred Neil,Beth Orton
Robert Earl Keen,Ryan Bingham
Richie Havens,Yes
Doc Watson,Roy Clark
Townes Van Zandt,Ryan Bingham
Joan Baez,The Fugs
Pete Seeger,The Fugs
Woody Guthrie,Ian & Sylvia
Ewan MacColl,Richard Thompson
Phil Ochs,Don McLean
Alan Lomax,Mike Seeger
Townes Van Zandt,The Avett Brothers
John Martyn,Acoustic Alchemy
Roscoe Holcomb,Hazel Dickens
Woody Guthrie,The Maddox Brothers & Rose
Joan Baez,Nanci Griffith
Tom Rush,Jackson Browne
Tom Paxton,Jackson Browne
Alan Lomax,Dave Van Ronk
Sandy Denny,Nanci Griffith
Elizabeth Cotten,Dave Van Ronk
John Jacob Niles,Dave Van Ronk
John Fahey,Charlie Hunter
Hazel Dickens,Dixie Chicks
Fred Neil,Jackson Browne
Dave Van Ronk,Phil Ochs
Pete Seeger,Phil Ochs
Pete Seeger,Sweet Honey in the Rock
Shirley Collins,June Tabor
Joan Baez,June Tabor
Ewan MacColl,June Tabor
John Renbourn,June Tabor
Sandy Denny,June Tabor
Judy Collins,June Tabor
Nic Jones,June Tabor
Steeleye Span,June Tabor
Peggy Seeger,June Tabor
Woody Guthrie,Violent Femmes
Pentangle,Vashti Bunyan
Davy Graham,Vashti Bunyan
Joan Baez,Vashti Bunyan
Shirley Collins,Vashti Bunyan
Ewan MacColl,The Pogues
Woody Guthrie,Dave Van Ronk
Dave Van Ronk,Bonnie Raitt
Pete Seeger,Dave Van Ronk
Burl Ives,Phil Ochs
Mike Seeger,Tony Trischka
John Martyn,Peter Gabriel
The Lovin' Spoonful,Crazy Horse
John Gorka,John Mayer
Woody Guthrie,Hazel Dickens
Ian & Sylvia,"Crosby, Stills & Nash"
The Lovin' Spoonful,"Crosby, Stills & Nash"
Townes Van Zandt,Nanci Griffith
The Incredible String Band,Animal Collective
Vashti Bunyan,Animal Collective
Woody Guthrie,Joel Rafael
Ramblin' Jack Elliott,Joel Rafael
Jackson C. Frank,Pentangle
Bert Jansch,Mazzy Star
The Incredible String Band,Cass McCombs
Michael Hurley,Cass McCombs
Ramblin' Jack Elliott,Jerry Jeff Walker
The Kingston Trio,Gram Parsons
John Fahey,Bon Iver
Linda Perhacs,Bon Iver
Doc Watson,Tony Rice
Leo Kottke,Tony Rice
Leo Kottke,Tony Trischka
The Incredible String Band,The Dodos
The Lovin' Spoonful,Jackson Browne
Odetta,Bonnie Raitt
Doc Watson,Dave Van Ronk
Pentangle,Mazzy Star
Cisco Houston,The Brothers Four
Ewan MacColl,Pentangle
Lucinda Williams,Sunny Sweeney
Woody Guthrie,Wilco
Ewan MacColl,Tommy Makem
Jackson C. Frank,Paul Simon
Pete Seeger,Tommy Makem
Townes Van Zandt,Smog
Michael Hurley,Smog
Woody Guthrie,Tommy Makem
Peggy Seeger,Tommy Makem
Hazel Dickens,Sam Bush
Cisco Houston,Phil Ochs
Jean Ritchie,The Clancy Brothers
The New Christy Minstrels,Tim Hardin
Doc Watson,Norman Blake
Fred Neil,Paul Simon
Bert Jansch,Paul Simon
Dave Van Ronk,Paul Simon
Steeleye Span,Clannad
The Lovin' Spoonful,Jefferson Airplane
Joan Baez,Jefferson Airplane
Fred Neil,Jefferson Airplane
"Peter, Paul and Mary",Jefferson Airplane
The Incredible String Band,Clannad
John Fahey,The Durutti Column
Buffy Sainte-Marie,Sweet Honey in the Rock
Buffy Sainte-Marie,Stevie Nicks
David Wilcox,Brandon Heath
Kate & Anna McGarrigle,Martha Wainwright
"Peter, Paul and Mary",The Weepies
Burl Ives,The Clancy Brothers
Woody Guthrie,BoySetsFire
Woody Guthrie,The Clancy Brothers
Hazel Dickens,Emmylou Harris
Sandy Denny,Angela McCluskey
Fred Neil,Tim Hardin
Dave Van Ronk,The Incredible String Band
Ramblin' Jack Elliott,The Incredible String Band
The New Lost City Ramblers,Lindsey Buckingham
Joan Baez,Emmylou Harris
Doc Watson,June Carter Cash
Sandy Denny,Kathryn Williams
Jean Ritchie,June Carter Cash
John Martyn,Pentangle
Vashti Bunyan,Kathryn Williams
Fred Neil,Emmylou Harris
Jean Ritchie,The Be Good Tanyas
Woody Guthrie,Steve Goodman
Roscoe Holcomb,The New Lost City Ramblers
Woody Guthrie,The New Lost City Ramblers
Tom Rush,Steve Goodman
The Kingston Trio,Lindsey Buckingham
Phil Ochs,Steve Goodman
Tom Paxton,Steve Goodman
Woody Guthrie,Sweet Honey in the Rock
Robert Earl Keen,Jack Ingram
Davy Graham,Pentangle
Mike Seeger,Norman Blake
Phil Ochs,Art Garfunkel
Loudon Wainwright III,Martha Wainwright
John Jacob Niles,The Clancy Brothers
The Incredible String Band,Of Montreal
Pete Seeger,New Model Army
John Fahey,The Six Parts Seven
John Fahey,Leo Kottke
Townes Van Zandt,M. Ward
The Kingston Trio,The Mamas & the Papas
Cisco Houston,Malvina Reynolds
Pete Seeger,The New Christy Minstrels
John Fahey,Country Joe & the Fish
Joan Baez,Ani DiFranco
Hazel Dickens,Lucinda Williams
Townes Van Zandt,Lucinda Williams
Woody Guthrie,Ani DiFranco
The Kingston Trio,The New Christy Minstrels
Elizabeth Cotten,Jerry Garcia
The Lovin' Spoonful,New Riders of the Purple Sage
Burl Ives,Malvina Reynolds
Sandy Denny,Natalie Merchant
Phil Ochs,Country Joe & the Fish
Woody Guthrie,The Kingston Trio
Burl Ives,Ani DiFranco
The New Lost City Ramblers,Jerry Garcia
John Gorka,Ani DiFranco
Jean Ritchie,The Kingston Trio
Pete Seeger,The Kingston Trio
Shirley Collins,Joanna Newsom
Woody Guthrie,Country Joe & the Fish
Woody Guthrie,Gordon Lightfoot
Buffy Sainte-Marie,Judee Sill
Dar Williams,Sara Bareilles
The Kingston Trio,ABBA
Phil Ochs,Ani DiFranco
Greg Brown,Ryan Adams
Loreena McKennitt,Joanna Newsom
Pentangle,Joanna Newsom
Malvina Reynolds,Ani DiFranco
Robert Earl Keen,Pat Green
Odetta,Joan Armatrading
Woody Guthrie,Van Dyke Parks
Richie Havens,Roberta Flack
Ramblin' Jack Elliott,Buffalo Springfield
Karen Dalton,Joanna Newsom
Fred Neil,Buffalo Springfield
Linda Perhacs,Joanna Newsom
Elizabeth Cotten,Tim Hardin
Burl Ives,The Kingston Trio
Doc Watson,John Renbourn
Ian & Sylvia,Lucinda Williams
Richie Havens,Jeff Buckley
Woody Guthrie,Peggy Seeger
Dave Van Ronk,Tim Hardin
Joan Baez,Roberta Flack
Elizabeth Cotten,M. Ward
Tom Paxton,Gordon Lightfoot
The Incredible String Band,Richard & Linda Thompson
The Lovin' Spoonful,Country Joe & the Fish
Fred Neil,The Beautiful South
Ewan MacColl,Richard & Linda Thompson
Richie Havens,Ani DiFranco
Tom Paxton,The Move
Burl Ives,Tim Hardin
Jackson C. Frank,John Renbourn
Woody Guthrie,Tim Hardin
Damien Rice,Ed Sheeran
Woody Guthrie,The New Christy Minstrels
The Lovin' Spoonful,Gordon Lightfoot
Robert Earl Keen,James McMurtry
Shirley Collins,Fairport Convention
Ian & Sylvia,Fairport Convention
Jackson C. Frank,Fairport Convention
Ewan MacColl,Fairport Convention
Townes Van Zandt,Robert Earl Keen
Davy Graham,Fairport Convention
Richie Havens,Tracy Chapman
Davy Graham,Leo Kottke
Buffy Sainte-Marie,Tracy Chapman
Fred Neil,Jackson C. Frank
The Lovin' Spoonful,The Partridge Family
Loudon Wainwright III,Ben Folds
Townes Van Zandt,Cross Canadian Ragweed
Bert Jansch,Leo Kottke
Woody Guthrie,Phil Ochs
Oscar Brand,Phil Ochs
Lucinda Williams,Whiskeytown
Burl Ives,The Brothers Four
Pete Seeger,The Brothers Four
Doc Watson,Sam Bush
The Easy Riders,The Brothers Four
Odetta,Tracy Chapman
Judy Collins,Phoebe Snow
Doc Watson,Leo Kottke
John Renbourn,Leo Kottke
Woody Guthrie,Christy Moore
Ewan MacColl,Christy Moore
Steve Goodman,Cross Canadian Ragweed
Odetta,Phil Ochs
Odetta,Sweet Honey in the Rock
Mike Seeger,Bill Evans
Ramblin' Jack Elliott,Jackson C. Frank
The Lovin' Spoonful,Tom Petty
John Fahey,Richard & Linda Thompson
Woody Guthrie,Discharge
Ian & Sylvia,Gordon Lightfoot
Bert Jansch,Richard & Linda Thompson
Fred Neil,Gordon Lightfoot
Alan Lomax,M. Ward
Phil Ochs,Gordon Lightfoot
Ewan MacColl,Jerry Garcia
John Fahey,M. Ward
Doc Watson,Jerry Garcia
The Incredible String Band,Joanna Newsom
"Peter, Paul and Mary",The Mamas & the Papas
Burl Ives,Leo Kottke
Fred Neil,Jeff Buckley
Ramblin' Jack Elliott,Gordon Lightfoot
Pentangle,Devendra Banhart
Woody Guthrie,Malvina Reynolds
Vashti Bunyan,Joanna Newsom
Burl Ives,The New Christy Minstrels
Joan Baez,Judee Sill
The Roches,Jeff Buckley
Linda Perhacs,Jane Siberry
Davy Graham,The Incredible String Band
Pete Seeger,Leo Kottke
Shel Silverstein,Todd Snider
Phil Ochs,Jackson C. Frank
Loudon Wainwright III,Todd Snider
Steve Goodman,Ani DiFranco
The Roches,Martha Wainwright
Woody Guthrie,The Brothers Four
Woody Guthrie,George Ezra
Roscoe Holcomb,Karen Dalton
Davy Graham,The Spencer Davis Group
John Fahey,George Winston
Steve Goodman,John Prine
Cisco Houston,Ramblin' Jack Elliott
Burl Ives,Ramblin' Jack Elliott
Woody Guthrie,Ramblin' Jack Elliott
Woody Guthrie,Johnny Cash
Bert Jansch,Comus
John Fahey,Comus
John Martyn,Cocteau Twins
The Incredible String Band,Comus
Shirley Collins,Comus
Dave Van Ronk,Townes Van Zandt
Shel Silverstein,Warren Zevon
Kate & Anna McGarrigle,Shawn Colvin
Townes Van Zandt,Vetiver
Fred Neil,Sandy Denny
Dave Van Ronk,John Sebastian
The New Lost City Ramblers,John Sebastian
Judy Henske,Sandy Denny
Tom Paxton,Townes Van Zandt
Ramblin' Jack Elliott,John Prine
Gillian Welch,Neko Case
Ewan MacColl,Al Stewart
Fred Neil,Al Stewart
Odetta,Judy Collins
Dave Van Ronk,Charlie Parr
Davy Graham,Neil Young
Pete Seeger,The Dubliners
Ewan MacColl,The Dubliners
Joan Baez,Sandy Denny
Dave Van Ronk,The Head and the Heart
Ian & Sylvia,Poco
The Lovin' Spoonful,Poco
Tom Rush,The Head and the Heart
Fred Neil,The Head and the Heart
Davy Graham,John Martyn
Bert Jansch,John Martyn
John Fahey,John Martyn
Linda Perhacs,CocoRosie
Karen Dalton,Lacy J. Dalton
Bert Jansch,Neil Young
Hazel Dickens,Neko Case
Arlo Guthrie,Ani DiFranco
Carolyn Hester,Sandy Denny
Woody Guthrie,Davy Graham
Tom Paxton,Barenaked Ladies
Davy Graham,Gerry Rafferty
Bert Jansch,Gerry Rafferty
Gordon Lightfoot,Barenaked Ladies
The Incredible String Band,The Fall
Jean Ritchie,Karen Dalton
Townes Van Zandt,Cowboy Junkies
Pete Seeger,Karen Dalton
Hazel Dickens,Alison Krauss
Davy Graham,Led Zeppelin
Tom Paxton,Neil Young
Bert Jansch,Led Zeppelin
The Roches,Shawn Colvin
Tom Paxton,Stan Rogers
The Kingston Trio,Graham Nash
Mike Seeger,David Grisman
Woody Guthrie,Old Crow Medicine Show
Lucinda Williams,Lori McKenna
Mike Seeger,The Dillards
Vashti Bunyan,Devendra Banhart
The Incredible String Band,Devendra Banhart
Gordon Lightfoot,Stan Rogers
Ramblin' Jack Elliott,Mason Jennings
Richie Havens,David Gray
