influencer_name,follower_name
The Memphis Horns,Tower of Power
Wilson Pickett,Tower of Power
The Isley Brothers,Tower of Power
Booker T. Jones,Tower of Power
Lee Dorsey,Tower of Power
Dionne Warwick,Tasmin Archer
Sade,Tasmin Archer
TLC,SisqÃ³
Blackstreet,SisqÃ³
Bobby Brown,SisqÃ³
Boyz II Men,SisqÃ³
Bell Biv DeVoe,SisqÃ³
D'Angelo,SisqÃ³
R. Kelly,SisqÃ³
Michael Jackson,SisqÃ³
Keith Sweat,SisqÃ³
Maxwell,SisqÃ³
Bill Withers,Aloe Blacc
Sam Cooke,Aloe Blacc
Marvin Gaye,Aloe Blacc
Stevie Wonder,Aloe Blacc
Sade,Amel Larrieux
Roberta Flack,Amel Larrieux
Anita Baker,Amel Larrieux
Chaka Khan,Amel Larrieux
Gladys Knight,Patti LaBelle
Prince,Patti LaBelle
Darlene Love,Patti LaBelle
Tina Turner,Patti LaBelle
Doris Troy,Patti LaBelle
Ruth Brown,Patti LaBelle
Lorraine Ellison,Patti LaBelle
Aretha Franklin,Patti LaBelle
Sly & the Family Stone,Terence Trent D'Arby
Bill Withers,Terence Trent D'Arby
James Brown,Terence Trent D'Arby
Sam Cooke,Terence Trent D'Arby
Marvin Gaye,Terence Trent D'Arby
Prince,Terence Trent D'Arby
Otis Redding,Terence Trent D'Arby
Michael Jackson,Terence Trent D'Arby
Billy Preston,Terence Trent D'Arby
Al Green,Terence Trent D'Arby
Stevie Wonder,Terence Trent D'Arby
Wilson Pickett,Terence Trent D'Arby
Commodores,Terence Trent D'Arby
Smokey Robinson,Terence Trent D'Arby
Cameo,Terence Trent D'Arby
Tammi Terrell,Patti Austin
Dionne Warwick,Patti Austin
Roger,Teddy Riley
Kim Weston,Teena Marie
Roberta Flack,Teena Marie
Rufus,Teena Marie
Marvin Gaye,Teena Marie
Mary Wells,Teena Marie
Minnie Riperton,Teena Marie
Diana Ross,Teena Marie
Tina Turner,Teena Marie
Chaka Khan,Teena Marie
Smokey Robinson,Teena Marie
Linda Jones,Teena Marie
Aretha Franklin,Teena Marie
Dionne Warwick,Barry Manilow
Brandy,Amerie
Jackie Wilson,Teddy Pendergrass
Curtis Mayfield,Teddy Pendergrass
Clarence Carter,Teddy Pendergrass
Ben E. King,Teddy Pendergrass
Eddie Floyd,Teddy Pendergrass
Johnnie Taylor,Teddy Pendergrass
Lou Rawls,Teddy Pendergrass
Sam Cooke,Teddy Pendergrass
Marvin Gaye,Teddy Pendergrass
O.V. Wright,Teddy Pendergrass
Al Green,Teddy Pendergrass
Smokey Robinson,Teddy Pendergrass
Percy Sledge,Teddy Pendergrass
Al Green,Shelby Lynne
Aretha Franklin,Shelby Lynne
Eddie Hazel,Slash
Gladys Knight,Stephanie Mills
Diana Ross,Stephanie Mills
Tina Turner,Stephanie Mills
Donna Summer,Stephanie Mills
Chaka Khan,Stephanie Mills
Diana Ross,Patty Smyth
Aretha Franklin,Patty Griffin
Don Covay,Steppenwolf
Chic,Stereo MC's
Sam Cooke,Ted Hawkins
Otis Redding,Ted Hawkins
Sly & the Family Stone,Tricky
Soul II Soul,Tricky
Grace Jones,Tricky
James Brown,Slave
Parliament,Slave
Larry Levan,Shep Pettibone
Tom Moulton,Shep Pettibone
Bill Withers,Smokie Norful
Donny Hathaway,Smokie Norful
Sam Cooke,Smokie Norful
Marvin Gaye,Smokie Norful
The Staple Singers,Smokie Norful
Stevie Wonder,Smokie Norful
Janet Jackson,Paulina Rubio
Curtis Mayfield,Terry Callier
Jerry Butler,Terry Callier
Curtis Mayfield,Slim Smith
The Supremes,The 5th Dimension
Smokey Robinson & the Miracles,The Action
Larry Williams,The Action
Sam & Dave,The Action
Marvin Gaye,The Action
The Temptations,The Action
Wilson Pickett,The Action
Terry Callier,Paul Weller
Jackie Wilson,Paul Weller
James Brown,Paul Weller
Curtis Mayfield,Paul Weller
Sam Cooke,Paul Weller
Marvin Gaye,Paul Weller
Jerry Butler,Paul Weller
Otis Redding,Paul Weller
The Temptations,Paul Weller
Smokey Robinson,Paul Weller
Fats Domino,Paul McCartney
Sam Cooke,Paul McCartney
The Marvelettes,Paul McCartney
Smokey Robinson,Paul McCartney
Ike & Tina Turner,Terry Reid
Eddie Floyd,Terry Reid
Joe Tex,Terry Reid
Otis Redding,Terry Reid
Aretha Franklin,Terry Reid
Bobby Brown,Tevin Campbell
Babyface,Tevin Campbell
Prince,Tevin Campbell
Michael Jackson,Tevin Campbell
Al B. Sure!,Tevin Campbell
Guy,Tevin Campbell
New Edition,Tevin Campbell
The O'Jays,Tevin Campbell
Ray Charles,Solomon Burke
Jackie Wilson,Solomon Burke
Sam Cooke,Solomon Burke
Roy Hamilton,Solomon Burke
Screamin' Jay Hawkins,Solomon Burke
Johnny Ace,Solomon Burke
Don Covay,Solomon Burke
Johnnie Taylor,AndraÃ© Crouch
Sam Cooke,AndraÃ© Crouch
Patti LaBelle,Paula Abdul
Janet Jackson,Paula Abdul
KC & the Sunshine Band,Paula Abdul
Michael Jackson,Paula Abdul
Donna Summer,Paula Abdul
Gloria Gaynor,Paula Abdul
Shalamar,Paula Abdul
The Pointer Sisters,Paula Abdul
TLC,Anastacia
Destiny's Child,Anastacia
Mariah Carey,Anastacia
War,Paul Simon
Johnny Maestro,Paul Simon
The Moonglows,Paul Simon
The Cadillacs,Paul Simon
Johnny Ace,Paul Simon
Shalamar,Sophie Ellis-Bextor
Marvin Gaye,Texas
The Stylistics,The Beautiful South
Al Green,The Beautiful South
Solomon Burke,Sly & the Family Stone
Bobby Womack,Sly & the Family Stone
The Impressions,Sly & the Family Stone
Ike & Tina Turner,Sly & the Family Stone
Jackie Wilson,Sly & the Family Stone
James Brown,Sly & the Family Stone
Parliament,Sly & the Family Stone
Johnnie Taylor,Sly & the Family Stone
Roy Brown,Sly & the Family Stone
Otis Redding,Sly & the Family Stone
The Memphis Horns,Sly & the Family Stone
Booker T. Jones,Sly & the Family Stone
The Crystals,The Archies
Little Eva,The Archies
Bill Withers,Paul Young
Billy Paul,Paul Young
Harold Melvin & the Blue Notes,Paul Young
The O'Jays,Paul Young
Ann Peebles,Paul Young
The Flamingos,The Belmonts
The Five Satins,The Belmonts
The Clovers,The Belmonts
The Duprees,The Belmonts
The Skyliners,The Belmonts
The Platters,The Belmonts
The Flamingos,Smokey Robinson & the Miracles
Brook Benton,Smokey Robinson & the Miracles
The Platters,Smokey Robinson & the Miracles
Teena Marie,Soul II Soul
Sly & the Family Stone,Soul II Soul
James Brown,Soul II Soul
Barry White,Soul II Soul
Hot Chocolate,Soul II Soul
Prince,Soul II Soul
Stevie Wonder,Soul II Soul
Gil Scott-Heron,Soul II Soul
Sister Sledge,Soul II Soul
The Delfonics,Peabo Bryson
Teddy Pendergrass,Peabo Bryson
Bobby Womack,Peabo Bryson
Enchantment,Peabo Bryson
Donny Hathaway,Peabo Bryson
Sam Cooke,Peabo Bryson
Roberta Flack,Peabo Bryson
Marvin Gaye,Peabo Bryson
Jerry Butler,Peabo Bryson
Otis Redding,Peabo Bryson
The Stylistics,Peabo Bryson
Al Green,Peabo Bryson
Smokey Robinson,Peabo Bryson
Carla Thomas,Maria Muldaur
Mavis Staples,Maria Muldaur
LaVern Baker,Maria Muldaur
Ike & Tina Turner,Peaches & Herb
Bell Biv DeVoe,Silk
Jodeci,Silk
Al B. Sure!,Silk
Guy,Silk
Keith Sweat,Silk
Full Force,Silk
Montell Jordan,Silk
Eddie Hazel,Sonny Sharrock
The Impressions,The Band
Fats Domino,The Band
Sam Cooke,The Band
Marvin Gaye,The Band
Booker T. Jones,The Band
LaVern Baker,The Band
P.P. Arnold,Soft Cell
Donna Summer,Soft Cell
Shirley Ellis,Soft Cell
Doris Troy,Soft Cell
Patti Austin,Angie Stone
Teena Marie,Angie Stone
Sly & the Family Stone,Angie Stone
Gladys Knight,Angie Stone
Betty Davis,Angie Stone
Lamont Dozier,Angie Stone
Cissy Houston,Angie Stone
Lalah Hathaway,Angie Stone
D'Angelo,Angie Stone
Carla Thomas,Angie Stone
Erykah Badu,Angie Stone
Jamiroquai,Angie Stone
Janet Jackson,Angie Stone
Sade,Angie Stone
Roberta Flack,Angie Stone
Prince,Angie Stone
Mary J. Blige,Angie Stone
Minnie Riperton,Angie Stone
Brenda Russell,Angie Stone
Ashford & Simpson,Angie Stone
Stevie Wonder,Angie Stone
Willie Mitchell,Angie Stone
Chaka Khan,Angie Stone
Regina Belle,Angie Stone
The Undisputed Truth,Angie Stone
Ann Peebles,Angie Stone
Aretha Franklin,Angie Stone
The Flamingos,Simon & Garfunkel
Frankie Lymon,Simon & Garfunkel
Tammi Terrell,Gladys Knight
Marvin Gaye,Gladys Knight
Ruth Brown,Gladys Knight
Linda Jones,Gladys Knight
Aretha Franklin,Gladys Knight
Don Covay,Gladys Knight
Parliament,Andrew W.K.
Syreeta,Solange
Erykah Badu,Solange
Mary J. Blige,Solange
Mary Wells,Solange
Minnie Riperton,Solange
Diana Ross,Solange
Patrice Rushen,Solange
Chubby Checker,The Beach Boys
Frankie Lymon,The Beach Boys
The Cadillacs,The Beach Boys
The Platters,The Beach Boys
Booker T. Jones,The Blues Project
The Chantels,Sonny & Cher
The Platters,Sonny & Cher
Al Green,Susan Tedeschi
Frankie Lymon,Bee Gees
Dionne Warwick,Bee Gees
Otis Redding,Bee Gees
The Spinners,Bee Gees
Smokey Robinson,Bee Gees
Macy Gray,Angela McCluskey
Chic,Blondie
The Crystals,Blondie
The Shirelles,Blondie
Darlene Love,Blondie
Tina Turner,Beth Hart
Sade,Sweetback
Solomon Burke,Steve Winwood
Ray Charles,Steve Winwood
Sam & Dave,Steve Winwood
Otis Redding,Steve Winwood
Al Green,Steve Winwood
Shuggie Otis,The Mars Volta
Soul II Soul,Soulive
The Brand New Heavies,Soulive
Gil Scott-Heron,Soulive
Incognito,Soulive
Screamin' Jay Hawkins,The Big Bopper
Ray Charles,The Everly Brothers
Smokey Robinson & the Miracles,Edwin Starr
The Impressions,Edwin Starr
Ike & Tina Turner,Edwin Starr
Barrett Strong,Edwin Starr
James Brown,Edwin Starr
Otis Redding,Edwin Starr
The Temptations,Edwin Starr
William Bell,Edwin Starr
Bill Doggett,Edwin Starr
Brenton Wood,Syl Johnson
Wilson Pickett,Syl Johnson
Joe Simon,Syl Johnson
James Brown,Ani DiFranco
Sly & the Family Stone,"Blood, Sweat & Tears"
Ray Charles,"Blood, Sweat & Tears"
Otis Redding,"Blood, Sweat & Tears"
The Isley Brothers,"Blood, Sweat & Tears"
Marvin Gaye,The Blue Nile
Solomon Burke,The Blues Brothers
The Mar-Keys,The Blues Brothers
Isaac Hayes,The Blues Brothers
James Carr,The Blues Brothers
Carla Thomas,The Blues Brothers
Sam & Dave,The Blues Brothers
Otis Redding,The Blues Brothers
O.V. Wright,The Blues Brothers
Wilson Pickett,The Blues Brothers
Booker T. Jones,The Blues Brothers
Percy Sledge,The Blues Brothers
Otis Clay,The Blues Brothers
War,The Black Crowes
Brandy,Blu Cantrell
Toni Braxton,Blu Cantrell
Solomon Burke,Betty Harris
Sly & the Family Stone,The Blackbyrds
James Brown,The Blackbyrds
The Delfonics,Blackstreet
Bobby Brown,Blackstreet
Bell Biv DeVoe,Blackstreet
Michael Jackson,Blackstreet
Harold Melvin & the Blue Notes,Blackstreet
Kool & the Gang,Blackstreet
The O'Jays,Blackstreet
Montell Jordan,Blackstreet
Cameo,Blackstreet
Mariah Carey,Charlotte Church
The Impressions,The Manhattans
The Crystals,Carpenters
Dionne Warwick,Carpenters
The Marvelettes,Carpenters
Parliament,The Fixx
Marvin Gaye,Bloodstone
The Isley Brothers,Bloodstone
Lorraine Ellison,Bette Midler
Ann Peebles,Bette Midler
Aretha Franklin,Bette Midler
The J.B.'s,The Fantastic Four
James Brown,The Fantastic Four
Roy Brown,Bo Diddley
Wynonie Harris,Bo Diddley
The Coasters,The Chambers Brothers
The Impressions,The Chambers Brothers
Otis Redding,The Chambers Brothers
The Isley Brothers,The Chambers Brothers
Janet Jackson,B*Witched
Destiny's Child,B*Witched
Curtis Mayfield,Bilal
Eddie Kendricks,Bilal
Sade,Bilal
Marvin Gaye,Bilal
Prince,Bilal
Betty Harris,Betty Everett
Sly & the Family Stone,Betty Davis
Diana Ross,Betty Davis
Tina Turner,Betty Davis
Ruth Brown,Betty Davis
Aretha Franklin,Betty Davis
Solomon Burke,Elvis Costello
James Carr,Elvis Costello
Sam & Dave,Elvis Costello
Percy Mayfield,Elvis Costello
Otis Redding,Elvis Costello
Little Willie John,B.B. King
The Drifters,The Mamas & the Papas
The Shirelles,The Mamas & the Papas
The Temptations,The Mamas & the Papas
Parliament,Bernie Worrell
King Curtis,The Mar-Keys
Roy Brown,The Mar-Keys
Bill Doggett,The Mar-Keys
Wynonie Harris,The Mar-Keys
Gladys Knight,Betty Wright
Tammi Terrell,Betty Wright
Dionne Warwick,Betty Wright
Marvin Gaye,Betty Wright
The Marvelettes,Betty Wright
Mary Wells,Betty Wright
Diana Ross,Betty Wright
Irma Thomas,Betty Wright
Smokey Robinson,Betty Wright
Aretha Franklin,Betty Wright
Parliament,B.T. Express
Teddy Riley,Bobby Brown
Teddy Pendergrass,Bobby Brown
The Jackson 5,Bobby Brown
James Brown,Bobby Brown
Marvin Gaye,Bobby Brown
Prince,Bobby Brown
Michael Jackson,Bobby Brown
The Whispers,Bobby Brown
Atlantic Starr,Bobby Brown
The Spinners,Bobby Brown
The Brothers Johnson,Bobby Brown
Full Force,Bobby Brown
DeBarge,Bobby Brown
Morris Day,Bobby Brown
Cameo,Bobby Brown
Teddy Pendergrass,Babyface
Bill Withers,Babyface
Chic,Babyface
Curtis Mayfield,Babyface
Freddie Jackson,Babyface
Donny Hathaway,Babyface
Luther Vandross,Babyface
Sam Cooke,Babyface
Lionel Richie,Babyface
Marvin Gaye,Babyface
Michael Jackson,Babyface
The Whispers,Babyface
Atlantic Starr,Babyface
Al Green,Babyface
Stevie Wonder,Babyface
The Isley Brothers,Babyface
Smokey Robinson,Babyface
The Flamingos,The Five Satins
The Dells,The Five Satins
The Penguins,The Five Satins
The Platters,The Five Satins
Marvin Gaye,Avant
Prince,Avant
Brian McKnight,Avant
The Platters,The Five Keys
Smokey Robinson & the Miracles,Bobby Womack
Ray Charles,Bobby Womack
Jackie Wilson,Bobby Womack
Chuck Willis,Bobby Womack
Larry Williams,Bobby Womack
Sam Cooke,Bobby Womack
Percy Mayfield,Bobby Womack
Percy Mayfield,Bob Dylan
Smokey Robinson,Bob Dylan
The Bobbettes,The Chantels
Brian McKnight,B2K
Montell Jordan,B2K
Barry White,Kenny G
Kashif,Kenny G
The Impressions,Bob Marley & the Wailers
Gladys Knight,Kenny Rogers
The Platters,Kenny Rogers
Ray Charles,Bobby Darin
William Bell,Billy Idol
Fats Domino,Leonard Cohen
Sam Cooke,Leonard Cohen
Ray Charles,The J.B.'s
King Curtis,The J.B.'s
Roy Brown,The J.B.'s
Wynonie Harris,The J.B.'s
James Brown,Bob Seger
Marvin Gaye,Bob Seger
Otis Redding,Bob Seger
The Temptations,Bob Seger
Stevie Wonder,Bob Seger
Otis Clay,Bob Seger
Sly & the Family Stone,The Gap Band
James Brown,The Gap Band
Parliament,The Gap Band
"Earth, Wind & Fire",The Gap Band
Curtis Mayfield,The Gap Band
Funkadelic,The Gap Band
Ohio Players,The Gap Band
Archie Bell & the Drells,The Gap Band
The Temptations,The Gap Band
The Isley Brothers,The Gap Band
The O'Jays,The Gap Band
Fats Domino,Bobby Charles
Dave Bartholomew,Bobby Charles
Lloyd Price,Bobby Charles
Patti LaBelle,Kelly Rowland
Faith Evans,Kelly Rowland
Janet Jackson,Kelly Rowland
Mariah Carey,Kelly Rowland
Mary J. Blige,Kelly Rowland
Diana Ross,Kelly Rowland
Tina Turner,Kelly Rowland
Donna Summer,Kelly Rowland
Beverley Knight,Kelly Rowland
Whitney Houston,Kelly Rowland
The Flamingos,The Cleftones
The Drifters,The Cleftones
Gladys Knight,Natalie Cole
Betty Wright,Natalie Cole
Mary Wells,Natalie Cole
Aretha Franklin,Natalie Cole
Sam Cooke,Bobby Day
Jesse Belvin,Bobby Day
Funkadelic,Bad Brains
The Impressions,Ken Boothe
The Drifters,Ken Boothe
Sam Cooke,Ken Boothe
Marvin Gaye,Ken Boothe
Otis Redding,Ken Boothe
Wilson Pickett,Ken Boothe
Prince,Bob Sinclar
The Clovers,The Coasters
The Platters,The Coasters
Ray Charles,Cowboy Troy
James Brown,Bob Weir
The Meters,Bob Weir
The Clovers,Bobby Vee
Wilson Pickett,The Commitments
Ray Charles,Bill Withers
Ike & Tina Turner,Bill Withers
Jackie Wilson,Bill Withers
Curtis Mayfield,Bill Withers
Ben E. King,Bill Withers
Sam Cooke,Bill Withers
Johnny Nash,Bill Withers
Marvin Gaye,Bill Withers
Jerry Butler,Bill Withers
Otis Redding,Bill Withers
The Temptations,Bill Withers
Al Green,Bill Withers
Stevie Wonder,Bill Withers
Allen Toussaint,Bill Withers
Don Covay,Bill Withers
The Flamingos,The Lettermen
The Cadillacs,The Lettermen
Jermaine Jackson,Keith Washington
Johnny Ace,"Bobby ""Blue"" Bland"
Sly & the Family Stone,Boney M.
The Jackson 5,Boney M.
Labelle,Boney M.
The Supremes,Boney M.
The Temptations,Boney M.
Stevie Wonder,Boney M.
Smokey Robinson,Boney M.
Curtis Mayfield,Black Uhuru
The Flamingos,The Impressions
Jackie Wilson,The Impressions
The Drifters,The Impressions
The Dells,The Impressions
Gene Chandler,The Impressions
The Moonglows,The Impressions
The Platters,The Impressions
Donny Hathaway,Kenny Lattimore
Luther Vandross,Kenny Lattimore
Sam Cooke,Kenny Lattimore
Marvin Gaye,Kenny Lattimore
Al Green,Kenny Lattimore
Stevie Wonder,Kenny Lattimore
Smokey Robinson,Kenny Lattimore
The Dells,The Intruders
Jerry Butler,The Intruders
Sly & the Family Stone,The Jackson 5
Gladys Knight,The Jackson 5
James Brown,The Jackson 5
Frankie Lymon,The Jackson 5
Curtis Mayfield,The Jackson 5
Marvin Gaye,The Jackson 5
The Marvelettes,The Jackson 5
Otis Redding,The Jackson 5
The Supremes,The Jackson 5
The Temptations,The Jackson 5
The Staple Singers,The Jackson 5
Diana Ross,The Jackson 5
Stevie Wonder,The Jackson 5
Wilson Pickett,The Jackson 5
The Chi-Lites,The Jackson 5
The Isley Brothers,The Jackson 5
Smokey Robinson,The Jackson 5
James Brown,Kirk Franklin
Curtis Mayfield,Kirk Franklin
Luther Vandross,Kirk Franklin
Marvin Gaye,Kirk Franklin
Prince,Kirk Franklin
Candi Staton,Kirk Franklin
Al Green,Kirk Franklin
Stevie Wonder,Kirk Franklin
The Jackson 5,Boyzone
New Edition,Boyzone
Sly & the Family Stone,The Jam
The Foundations,The Jam
Curtis Mayfield,The Jam
Sam & Dave,The Jam
Wilson Pickett,The Jam
Terry Callier,India.Arie
Bill Withers,India.Arie
Dionne Farris,India.Arie
Donny Hathaway,India.Arie
Sam Cooke,India.Arie
Sade,India.Arie
Roberta Flack,India.Arie
Meshell Ndegeocello,India.Arie
Minnie Riperton,India.Arie
Stevie Wonder,India.Arie
Aretha Franklin,India.Arie
Sly & the Family Stone,Kleeer
James Brown,Kleeer
TLC,Kelis
Teena Marie,Kelis
Gladys Knight,Kelis
Betty Davis,Kelis
Jody Watley,Kelis
Erykah Badu,Kelis
Janet Jackson,Kelis
Prince,Kelis
Rick James,Kelis
Raphael Saadiq,Kelis
Meshell Ndegeocello,Kelis
Millie Jackson,Kelis
Minnie Riperton,Kelis
Anita Baker,Kelis
Tina Turner,Kelis
Beverley Knight,Kelis
Chaka Khan,Kelis
The Pointer Sisters,Kelis
Jackie Wilson,Billy Joe Royal
Sam Cooke,Billy Joe Royal
Marvin Gaye,Billy Joe Royal
Otis Redding,Billy Joe Royal
Aaron Neville,Billy Joe Royal
Al Green,Billy Joe Royal
Smokey Robinson,Billy Joe Royal
The Impressions,The Heptones
The Drifters,The Heptones
Ray Charles,Billy Joel
The Drifters,Billy Joel
Dionne Warwick,Billy Joel
Smokey Robinson,Billy Joel
Donna Summer,Irene Cara
Deborah Cox,Kelly Clarkson
Mariah Carey,Kelly Clarkson
Whitney Houston,Kelly Clarkson
Aretha Franklin,Kelly Clarkson
Lionel Richie,Kem
Sade,Kem
Anita Baker,Kem
The Isley Brothers,Kem
Smokey Robinson,Kem
The Coasters,The Hollies
Hank Ballard,The Hollies
Doris Troy,The Hollies
Mary J. Blige,Kelly Price
Beverley Knight,Kelly Price
Keith Sweat,Kelly Price
Womack & Womack,Kindred the Family Soul
Ohio Players,Billy Ocean
Kool & the Gang,Billy Ocean
The Jackson 5,The Jets
Michael Jackson,The Jets
The Five Stairsteps,The Jets
DeBarge,The Jets
Smokey Robinson & the Miracles,Billy Paul
The Coasters,Billy Paul
Jackie Wilson,Billy Paul
The Drifters,Billy Paul
The Dells,Billy Paul
Gene Chandler,Billy Paul
Sam Cooke,Billy Paul
Jerry Butler,Billy Paul
Brook Benton,Billy Paul
Roy Brown,Billy Lee Riley
Sun,Billy Lee Riley
Curtis Mayfield,The Last Poets
Loleatta Holloway,Black Box
James Brown,King Floyd
Lee Dorsey,King Floyd
Allen Toussaint,King Floyd
Sam & Dave,Ian Dury
Otis Redding,Ian Dury
Smokey Robinson,Ian Dury
Ray Charles,King Curtis
The Coasters,King Curtis
Wynonie Harris,King Curtis
The Delfonics,Black Ivory
TLC,Keyshia Cole
Faith Evans,Keyshia Cole
Janet Jackson,Keyshia Cole
Destiny's Child,Keyshia Cole
Deborah Cox,Keyshia Cole
Mariah Carey,Keyshia Cole
Mary J. Blige,Keyshia Cole
Monica,Keyshia Cole
Anita Baker,Keyshia Cole
Aaliyah,Keyshia Cole
Brandy,Keyshia Cole
Xscape,Keyshia Cole
Regina Belle,Keyshia Cole
The Impressions,Chic
Isaac Hayes,Chic
Labelle,Chic
James Brown,Chic
Parliament,Chic
Curtis Mayfield,Chic
Dionne Warwick,Chic
Rufus,Chic
Marvin Gaye,Chic
The Supremes,Chic
The Sweet Inspirations,Chic
The Temptations,Chic
Stevie Wonder,Chic
Harold Melvin,Chic
The Isley Brothers,Chic
James Brown,King Tubby
Fats Domino,King Tubby
Fats Domino,Robert Palmer
Joe Tex,Robert Palmer
Marvin Gaye,Robert Palmer
The Meters,Robert Palmer
Otis Redding,Robert Palmer
The Staple Singers,Robert Palmer
Lee Dorsey,Robert Palmer
Ann Peebles,Robert Palmer
Allen Toussaint,Robert Palmer
Womack & Womack,Koffee Brown
Tony! Toni! TonÃ©!,Koffee Brown
Mint Condition,Koffee Brown
Ray Charles,Ike & Tina Turner
Mickey & Sylvia,Ike & Tina Turner
James Brown,Commissioned
Luther Vandross,Commissioned
Stevie Wonder,Commissioned
The Delfonics,Boyz II Men
Smokey Robinson & the Miracles,Boyz II Men
Peabo Bryson,Boyz II Men
The Manhattans,Boyz II Men
Bobby Brown,Boyz II Men
Babyface,Boyz II Men
The Jackson 5,Boyz II Men
Isaac Hayes,Boyz II Men
The Drifters,Boyz II Men
Bell Biv DeVoe,Boyz II Men
Barry White,Boyz II Men
Freddie Jackson,Boyz II Men
Luther Vandross,Boyz II Men
Little Anthony & the Imperials,Boyz II Men
Marvin Gaye,Boyz II Men
Jerry Butler,Boyz II Men
Michael Jackson,Boyz II Men
The Whispers,Boyz II Men
Archie Bell & the Drells,Boyz II Men
The Stylistics,Boyz II Men
The Tams,Boyz II Men
The Spinners,Boyz II Men
Aaron Neville,Boyz II Men
Al Green,Boyz II Men
Stevie Wonder,Boyz II Men
Guy,Boyz II Men
Commodores,Boyz II Men
