Name,Genre
Portishead,Pop/Rock
Nitzer Ebb,Pop/Rock
Devo,Pop/Rock
Ric Ocasek,Pop/Rock
Nine Inch Nails,Pop/Rock
Miike Snow,Pop/Rock
Giorgio Moroder,Pop/Rock
Atlas Sound,Pop/Rock
Big Audio Dynamite,Pop/Rock
Xavier OmÃ¤r,R&B;
Kesha,Pop/Rock
Hooverphonic,Pop/Rock
Cocteau Twins,Pop/Rock
Jai Uttal,New Age
Republica,Pop/Rock
Duran Duran,Pop/Rock
Big Time Rush,Pop/Rock
Com Truise,Electronic
Steve Roach,New Age
Front 242,Pop/Rock
The Weeknd,R&B;
Information Society,Pop/Rock
LMFAO,Pop/Rock
JÃ³nsi,Pop/Rock
Aim,Electronic
Martin Gore,Pop/Rock
Bent,Electronic
Oneohtrix Point Never,Electronic
The Fall,Pop/Rock
Cusco,New Age
Thomas Dolby,Pop/Rock
Baths,Electronic
Iggy Pop,Pop/Rock
Throbbing Gristle,Pop/Rock
Finley Quaye,Pop/Rock
BjÃ¶rk,Pop/Rock
Soul Coughing,Pop/Rock
Arctic Monkeys,Pop/Rock
Dead Can Dance,Pop/Rock
Tuxedomoon,Pop/Rock
Trio,Pop/Rock
The Associates,Pop/Rock
Amon Tobin,Electronic
Kali Uchis,Pop/Rock
Erasure,Pop/Rock
Lisa Gerrard,Pop/Rock
Seal,Pop/Rock
Nelly Furtado,Pop/Rock
Trans-Siberian Orchestra,Classical
Silversun Pickups,Pop/Rock
Happy Mondays,Pop/Rock
Chromatics,Pop/Rock
Friendly Fires,Pop/Rock
Cut Copy,Pop/Rock
Falco,Pop/Rock
Soft Cell,Pop/Rock
Live,Pop/Rock
Electronic,Pop/Rock
Chrome,Pop/Rock
Bloc Party,Pop/Rock
Dirty Vegas,Electronic
'Til Tuesday,Pop/Rock
Hercules & Love Affair,Electronic
Stateless,Pop/Rock
Marilyn Manson,Pop/Rock
Panda Bear,Pop/Rock
Jesus Jones,Pop/Rock
RÃ¶yksopp,Electronic
Supreme Beings of Leisure,Pop/Rock
Jem,Pop/Rock
Dua Lipa,Pop/Rock
The Flying Lizards,Electronic
Goldfrapp,Pop/Rock
The Knife,Pop/Rock
Sylvester,R&B;
Kid Loco,Electronic
Wisin & Yandel,Latin
Petit Biscuit,Electronic
Timeflies,Electronic
Stereolab,Pop/Rock
David Guetta,Electronic
Manic Street Preachers,Pop/Rock
Baauer,Electronic
Alphaville,Pop/Rock
Fad Gadget,Pop/Rock
Lo Fidelity Allstars,Electronic
Broken Social Scene,Pop/Rock
Pharrell Williams,R&B;
Mogwai,Pop/Rock
LCD Soundsystem,Pop/Rock
Public Image Ltd.,Pop/Rock
The Sugarcubes,Pop/Rock
Battles,Pop/Rock
Propellerheads,Electronic
DÃ¢m-Funk,R&B;
John Tesh,New Age
Thompson Twins,Pop/Rock
Klaxons,Pop/Rock
Peter Gabriel,Pop/Rock
New Order,Pop/Rock
The Bloody Beetroots,Electronic
The Legendary Pink Dots,Pop/Rock
Suicide,Pop/Rock
A Certain Ratio,Pop/Rock
Kings of Convenience,Pop/Rock
Kasabian,Pop/Rock
Sleigh Bells,Pop/Rock
Moloko,Electronic
Joy Division,Pop/Rock
Barry Adamson,Pop/Rock
Toro y Moi,Pop/Rock
Ratatat,Pop/Rock
The Rockets,Pop/Rock
The Faint,Pop/Rock
Oasis,Pop/Rock
Ministry,Pop/Rock
Lukas Graham,Pop/Rock
Yanni,New Age
Sigur RÃ³s,Pop/Rock
Sia,Pop/Rock
Depeche Mode,Pop/Rock
Tommy Trash,Electronic
Big Data,Pop/Rock
Camouflage,Pop/Rock
A Flock of Seagulls,Pop/Rock
Imogen Heap,Pop/Rock
Yaz,Pop/Rock
Bingo Players,Electronic
Beach House,Pop/Rock
Cherub,Pop/Rock
Grizzly Bear,Pop/Rock
Atlas Genius,Pop/Rock
Orchestral Manoeuvres in the Dark,Pop/Rock
The 1975,Pop/Rock
MUTEMATH,Pop/Rock
Enya,New Age
Chromeo,Pop/Rock
Garbage,Pop/Rock
Mr. Scruff,Electronic
Romare,Electronic
Destructo,Electronic
Deva Premal,New Age
Simian,Pop/Rock
Medwyn Goodall,New Age
The The,Pop/Rock
Moti,Electronic
David Bowie,Pop/Rock
Jordan Rakei,R&B;
Major Lazer,Electronic
Kygo,Electronic
Yazoo,Pop/Rock
The Cars,Pop/Rock
Phantogram,Pop/Rock
Bowery Electric,Pop/Rock
Kylie Minogue,Pop/Rock
The Knocks,Pop/Rock
SÃ©bastien Tellier,Pop/Rock
Rammstein,Pop/Rock
