influencer_name,follower_name
Kraftwerk,The Chemical Brothers
Kraftwerk,The Prodigy
Morcheeba,Little Dragon
Neu!,Radiohead
Massive Attack,Little Dragon
Aphex Twin,Radiohead
Lamb,Little Dragon
The Prodigy,Madonna
Boards of Canada,Kodomo
Frankie Knuckles,Paul van Dyk
Massive Attack,Corinne Bailey Rae
Frankie Knuckles,Junior Vasquez
Kraftwerk,a-ha
Kruder & Dorfmeister,Lemon Jelly
The Chemical Brothers,Lemon Jelly
Aphex Twin,Linkin Park
Kraftwerk,Crystal Castles
Aphex Twin,Kodomo
Enigma,Lemon Jelly
Shep Pettibone,Junior Vasquez
Massive Attack,Madonna
Todd Terry,Todd Edwards
Air,Lemon Jelly
808 State,The Prodigy
MK,Todd Edwards
Orbital,Lemon Jelly
Autechre,Radiohead
James Blake,Lorde
The Orb,Paul van Dyk
Kraftwerk,The Orb
Hudson Mohawke,Cashmere Cat
UNKLE,The Go! Team
Frankie Knuckles,Felix da Housecat
Moby,The Go! Team
M/A/R/R/S,The Chemical Brothers
The KLF,Scooter
808 State,The Chemical Brothers
DJ Shadow,Caribou
Squarepusher,Radiohead
Neu!,Wire
Tangerine Dream,Labradford
Avicii,Cheat Codes
Kraftwerk,Heaven 17
Massive Attack,FKA twigs
Larry Heard,LFO
Frankie Knuckles,Daft Punk
Boards of Canada,MÃºm
Timmy Regisford,Todd Edwards
M/A/R/R/S,Daft Punk
Tool,Jack Off Jill
Kid Koala,Mark Ronson
Aphex Twin,Seefeel
Daft Punk,Crystal Castles
Squarepusher,Burial
Goldie,Burial
Boards of Canada,Burial
M People,Scissor Sisters
Yello,Crystal Castles
Todd Terry,Black Box
Kraftwerk,George Clinton
Air,Washed Out
Zedd,Cheat Codes
Tangerine Dream,Seefeel
The Chemical Brothers,Cornelius
Tricky,Sneaker Pimps
Kraftwerk,Cornelius
DJ Shadow,Gnarls Barkley
Aphex Twin,Squarepusher
A Guy Called Gerald,Squarepusher
Tangerine Dream,Gas
Tangerine Dream,Hawkwind
Neu!,Tame Impala
Calvin Harris,Cheat Codes
The KLF,Gas
Kraftwerk,Sneaker Pimps
Aphex Twin,Deerhunter
Aphex Twin,Thom Yorke
Massive Attack,Sneaker Pimps
Yello,Justice
Aphex Twin,Fever Ray
Daft Punk,Justice
Four Tet,Flying Lotus
808 State,Black Grape
Yellow Magic Orchestra,Cornelius
Tangerine Dream,Software
LFO,Squarepusher
Boards of Canada,Deadmau5
The Crystal Method,Cash Cash
Aphex Twin,MÃºm
Kraftwerk,YACHT
Kraftwerk,The Art of Noise
Squarepusher,Broadcast
Tangerine Dream,The Art of Noise
DJ Shadow,The Avalanches
Daft Punk,Calvin Harris
Boards of Canada,Thom Yorke
Ryuichi Sakamoto,Orbital
Tricky,PJ Harvey
Kraftwerk,Boards of Canada
Morcheeba,Gorillaz
Tangerine Dream,Mannheim Steamroller
Aphex Twin,Neurosis
Gas,Tim Hecker
The Future Sound of London,Boards of Canada
Kraftwerk,Skinny Puppy
Felix da Housecat,Calvin Harris
Basement Jaxx,M.I.A.
Jean-Jacques Perrey,Mannheim Steamroller
Aphex Twin,Calvin Harris
The KLF,Boards of Canada
Aphex Twin,YACHT
Kraftwerk,Spiritualized
The Chemical Brothers,Dub Pistols
Fatboy Slim,Dub Pistols
Tangerine Dream,Patrick O'Hearn
Vangelis,George Winston
Kraftwerk,Talking Heads
Edgar Froese,Patrick O'Hearn
Neu!,Ultravox
Basement Jaxx,Santigold
Hula,Orbital
Utah Saints,Crookers
M People,Spice Girls
The KLF,Messiah
The Orb,Boards of Canada
Daft Punk,Gorillaz
Morcheeba,Broadcast
Massive Attack,Broadcast
Peaches,La Roux
Basement Jaxx,Calvin Harris
Kraftwerk,Mannheim Steamroller
Yellow Magic Orchestra,Susumu Yokota
Massive Attack,Gorillaz
Kraftwerk,The Crystal Method
Air,TÃ©lÃ©popmusik
Robert Miles,TiÃ«sto
Moby,The Beta Band
808 State,Stereo MC's
The KLF,Stereo MC's
Tricky,Morcheeba
The Avalanches,Passion Pit
Basement Jaxx,TÃ©lÃ©popmusik
Moby,Fischerspooner
Massive Attack,Morcheeba
Kraftwerk,Tortoise
Technotronic,The Crystal Method
Goldie,Craig David
Armand Van Helden,Crookers
Thievery Corporation,TÃ©lÃ©popmusik
Vangelis,Patrick O'Hearn
Yellow Magic Orchestra,Tortoise
M.I.A.,Ida Maria
Vangelis,M83
Tricky,Lamb
Neu!,Tortoise
Groove Armada,The Avalanches
Aphex Twin,Boards of Canada
Neu!,Boards of Canada
Gas,Boards of Canada
Kraftwerk,Frankie Goes to Hollywood
Neu!,Julian Cope
Skrillex,EDEN
Yello,The Orb
Kraftwerk,Big Black
808 State,The Orb
Kraftwerk,Cabaret Voltaire
Massive Attack,Thievery Corporation
808 State,Lamb
Goldie,Lamb
Flying Lotus,Pham
Tangerine Dream,Cabaret Voltaire
The Rapture,CSS
Massive Attack,Lamb
Yellow Magic Orchestra,The Orb
Kraftwerk,Blancmange
Morcheeba,John Legend
Yello,Frankie Goes to Hollywood
Daft Punk,Matt and Kim
TrentemÃ¸ller,Deadmau5
The Chemical Brothers,Deadmau5
808 State,Portishead
A Guy Called Gerald,Portishead
Kraftwerk,Nitzer Ebb
Nightmares on Wax,Autechre
Paul van Dyk,Groove Armada
Kraftwerk,Devo
Swedish House Mafia,Zedd
Tangerine Dream,The Future Sound of London
Larry Heard,Moodymann
M/A/R/R/S,Fatboy Slim
Kraftwerk,Ric Ocasek
808 State,Fatboy Slim
Cluster,Ryuichi Sakamoto
Popol Vuh,Ryuichi Sakamoto
ATB,Cash Cash
Ryuichi Sakamoto,Nine Inch Nails
Neu!,Underworld
Kraftwerk,Miike Snow
Todd Terry,Nightmares on Wax
808 State,Underworld
Cluster,Giorgio Moroder
Aphex Twin,Deadmau5
Kraftwerk,Giorgio Moroder
Tangerine Dream,Devo
Underworld,Portishead
Yellow Magic Orchestra,The Future Sound of London
Tangerine Dream,Giorgio Moroder
Massive Attack,Portishead
Marc Almond,Atlas Sound
Kraftwerk,Big Audio Dynamite
Squarepusher,Deadmau5
Man Parrish,Autechre
James Blake,Xavier OmÃ¤r
Justice,Zedd
Daft Punk,Zedd
Massive Attack,Beth Orton
Todd Terry,Daft Punk
Laidback Luke,Zedd
Armand Van Helden,Zedd
Kraftwerk,The KLF
Yello,Autechre
Peaches,Kesha
Utah Saints,Miike Snow
Messiah,Crookers
Tricky,Thievery Corporation
Massive Attack,Hooverphonic
808 State,Utah Saints
Kraftwerk,Cocteau Twins
M/A/R/R/S,Gorillaz
UNKLE,Gorillaz
Ryuichi Sakamoto,The Orb
A Guy Called Gerald,Death in Vegas
The KLF,Utah Saints
Soulwax,CSS
Air,Broadcast
Massive Attack,PJ Harvey
Popol Vuh,Jai Uttal
DJ Shadow,Boards of Canada
Yello,Orbital
Underworld,Republica
Kraftwerk,Ultravox
Tricky,Hooverphonic
The Chemical Brothers,Bag Raiders
Kraftwerk,The Future Sound of London
Kraftwerk,Duran Duran
Kraftwerk,Ryuichi Sakamoto
Kraftwerk,Underworld
Kraftwerk,Autechre
Neu!,Young Marble Giants
Cybotron,Autechre
Neu!,Devo
A*Teens,Big Time Rush
Boards of Canada,Com Truise
Popol Vuh,Steve Roach
Freestyle,Autechre
Vangelis,Steve Roach
Kraftwerk,Front 242
Cluster,Steve Roach
Tangerine Dream,Steve Roach
Massive Attack,The Weeknd
The Prodigy,Cash Cash
Cluster,Atlas Sound
Kraftwerk,Information Society
Daft Punk,Cash Cash
Daft Punk,LMFAO
Moby,Daft Punk
Aphex Twin,Skrillex
Underworld,Kaskade
MÃºm,JÃ³nsi
Nightmares on Wax,Aim
Kraftwerk,Martin Gore
Thievery Corporation,Bent
DJ Shadow,Diplo
Tangerine Dream,Oneohtrix Point Never
Thievery Corporation,Diplo
Massive Attack,Diplo
Nightmares on Wax,Basement Jaxx
Fila Brazillia,Diplo
The Chemical Brothers,Diplo
Kraftwerk,Orbital
Neu!,The Fall
Tricky,Diplo
Vangelis,Cusco
Kraftwerk,Thomas Dolby
Todd Terry,Basement Jaxx
DJ Shadow,Baths
Kraftwerk,Iggy Pop
Kraftwerk,Throbbing Gristle
Underworld,Basement Jaxx
Frankie Knuckles,Basement Jaxx
The Orb,Kruder & Dorfmeister
William Orbit,Kruder & Dorfmeister
Tricky,Finley Quaye
Aphex Twin,Kruder & Dorfmeister
Orbital,Kruder & Dorfmeister
The Chemical Brothers,Kruder & Dorfmeister
Massive Attack,BjÃ¶rk
808 State,Soul Coughing
The Future Sound of London,Basement Jaxx
The Streets,Arctic Monkeys
The Prodigy,Skrillex
Edgar Froese,DJ Shadow
Orbital,DJ Shadow
Tangerine Dream,Dead Can Dance
Paul Oakenfold,Basement Jaxx
Kraftwerk,Tuxedomoon
Larry Heard,Basement Jaxx
Kraftwerk,Trio
Tangerine Dream,Yellow Magic Orchestra
Cluster,Throbbing Gristle
Kraftwerk,The Associates
808 State,Amon Tobin
The Prodigy,Basement Jaxx
Boards of Canada,Baths
M.I.A.,Kali Uchis
Daft Punk,Swedish House Mafia
Groove Armada,Hot Chip
DJ Shadow,Four Tet
Kraftwerk,Erasure
The Orb,Four Tet
Massive Attack,Basement Jaxx
Autechre,Four Tet
Thievery Corporation,Four Tet
Aphex Twin,Four Tet
Squarepusher,Four Tet
Vangelis,Lisa Gerrard
808 State,Seal
A Guy Called Gerald,Seal
Massive Attack,Nelly Furtado
Enigma,Trans-Siberian Orchestra
Neu!,Silversun Pickups
Man Parrish,Happy Mondays
Neu!,Throbbing Gristle
Junior Vasquez,Basement Jaxx
Tangerine Dream,M83
Marc Almond,Chromatics
Jamie Principle,Friendly Fires
Frankie Knuckles,Friendly Fires
Todd Terry,Armand Van Helden
Junior Vasquez,Armand Van Helden
The Rapture,Friendly Fires
Shep Pettibone,Armand Van Helden
Paul van Dyk,Faithless
Paul Oakenfold,Faithless
Daft Punk,Cut Copy
Kraftwerk,Falco
Tangerine Dream,Falco
Kraftwerk,Soft Cell
Tricky,Live
Kraftwerk,Electronic
Inner City,Basement Jaxx
Kraftwerk,Basement Jaxx
Neu!,Chrome
Kraftwerk,BjÃ¶rk
Adamski,Seal
Death in Vegas,Bloc Party
The Chemical Brothers,Dirty Vegas
Kraftwerk,'Til Tuesday
Patrick Cowley,Hercules & Love Affair
The Chemical Brothers,Air
Kraftwerk,Air
Massive Attack,Stateless
UNKLE,Stateless
Tricky,Marilyn Manson
Boards of Canada,Panda Bear
A Guy Called Gerald,Jesus Jones
Aphex Twin,Panda Bear
Kraftwerk,Panda Bear
Tangerine Dream,Enigma
Underworld,RÃ¶yksopp
Daft Punk,RÃ¶yksopp
Vangelis,Enigma
UNKLE,Supreme Beings of Leisure
Massive Attack,Jem
Morcheeba,Jem
M.I.A.,Dua Lipa
Yello,Erasure
808 State,Jesus Jones
Fatboy Slim,Skrillex
The Orb,Lemon Jelly
The Chemical Brothers,RÃ¶yksopp
Kraftwerk,RÃ¶yksopp
Tangerine Dream,The Flying Lizards
Kraftwerk,The Flying Lizards
UNKLE,Goldfrapp
Aphex Twin,The Knife
Neu!,Air
The Chemical Brothers,Skrillex
Patrick Cowley,Sylvester
Enigma,Goldfrapp
Fatboy Slim,RÃ¶yksopp
Moby,RÃ¶yksopp
Orbital,RÃ¶yksopp
DJ Shadow,Kid Loco
Tangerine Dream,The Orb
Underworld,Swedish House Mafia
Aphex Twin,DJ Shadow
Speedy,Wisin & Yandel
Bonobo,Petit Biscuit
Popol Vuh,Enigma
Massive Attack,Goldfrapp
Calvin Harris,Timeflies
Neu!,Stereolab
William Orbit,David Guetta
The Orb,BjÃ¶rk
Underworld,BjÃ¶rk
808 State,Manic Street Preachers
Kraftwerk,Yellow Magic Orchestra
Cluster,Yellow Magic Orchestra
Flosstradamus,Baauer
Underworld,Goldfrapp
Tangerine Dream,Alphaville
Neu!,Fad Gadget
Tangerine Dream,Yello
The Prodigy,Lo Fidelity Allstars
Aphex Twin,Broken Social Scene
The Crystal Method,Dirty Vegas
Kraftwerk,Yello
Junior Vasquez,Pharrell Williams
Squarepusher,Skrillex
Basement Jaxx,The Go! Team
Morcheeba,Caribou
Aphex Twin,Caribou
Kraftwerk,Alphaville
Orbital,Goldfrapp
Diplo,Baauer
Neu!,Mogwai
Underworld,Cassius
Fatboy Slim,The Go! Team
Todd Terry,Cassius
Bob Sinclar,David Guetta
Felix da Housecat,David Guetta
David Morales,David Guetta
Kraftwerk,Stereolab
Roger Sanchez,David Guetta
808 State,BjÃ¶rk
Utah Saints,David Guetta
Fatboy Slim,Cassius
Daft Punk,David Guetta
Paul Oakenfold,David Guetta
The Chemical Brothers,Cassius
Neu!,Caribou
DJ Shadow,Kid Koala
Tangerine Dream,Edgar Froese
The Chemical Brothers,David Guetta
Larry Heard,Hercules & Love Affair
Death in Vegas,LCD Soundsystem
Air,Bonobo
Neu!,Public Image Ltd.
808 State,The Sugarcubes
Cluster,Battles
808 State,Propellerheads
Kraftwerk,DÃ¢m-Funk
Larry Heard,DÃ¢m-Funk
Kraftwerk,Aphex Twin
UNKLE,LCD Soundsystem
Tangerine Dream,John Tesh
Massive Attack,The Streets
Goldie,The Streets
Kraftwerk,Thompson Twins
The Orb,Klaxons
Popol Vuh,Peter Gabriel
Kraftwerk,New Order
Daft Punk,The Bloody Beetroots
Edgar Froese,John Tesh
Basement Jaxx,The Bloody Beetroots
Neu!,The Legendary Pink Dots
Kraftwerk,The Legendary Pink Dots
Cassius,Justice
Felix da Housecat,Justice
Basement Jaxx,Justice
Fatboy Slim,Justice
The Chemical Brothers,Justice
M/A/R/R/S,808 State
Autechre,Ladytron
Yello,Ladytron
Basement Jaxx,The Streets
Kraftwerk,Suicide
Kraftwerk,A Certain Ratio
Neu!,New Order
Air,Kings of Convenience
Paul van Dyk,Robert Miles
Paul Oakenfold,Robert Miles
DJ Shadow,Kasabian
Yellow Magic Orchestra,New Order
Kraftwerk,The Streets
Tangerine Dream,Aphex Twin
Daft Punk,Sleigh Bells
The Chemical Brothers,The Bloody Beetroots
Kraftwerk,Ladytron
Massive Attack,Moloko
Groove Armada,The Go! Team
William Orbit,Madonna
DJ Shadow,The Go! Team
Kraftwerk,Joy Division
Massive Attack,Barry Adamson
Seefeel,Toro y Moi
DJ Shadow,Washed Out
Daft Punk,Ratatat
Four Tet,Washed Out
Neu!,The Rockets
Death in Vegas,The Faint
Black Box,Daft Punk
Kraftwerk,The Rockets
Tangerine Dream,The Rockets
Massive Attack,Goldie
The Chemical Brothers,Oasis
M/A/R/R/S,Lemon Jelly
Kraftwerk,Ministry
The Prodigy,Lukas Graham
Vangelis,Yanni
Morcheeba,Sigur RÃ³s
Neu!,Suicide
Massive Attack,Sia
Tangerine Dream,Yanni
William Orbit,Sia
Air,Sia
Yello,Depeche Mode
Yellow Magic Orchestra,Depeche Mode
TiÃ«sto,Tommy Trash
Kraftwerk,Big Data
Neu!,Kasabian
Kraftwerk,Depeche Mode
Kraftwerk,Camouflage
Vangelis,John Tesh
Kraftwerk,A Flock of Seagulls
Popol Vuh,Aphex Twin
Mr. Fingers,Aphex Twin
Ryuichi Sakamoto,Aphex Twin
Todd Edwards,Imogen Heap
Yellow Magic Orchestra,Camouflage
Yellow Magic Orchestra,Zero 7
DJ Shadow,Zero 7
808 State,Aphex Twin
Man Parrish,Justice
Kraftwerk,Yaz
Daft Punk,Bingo Players
The Chemical Brothers,Hot Chip
Broadcast,Beach House
Fatboy Slim,Hot Chip
Daft Punk,Cherub
Ryuichi Sakamoto,Massive Attack
Faithless,Avicii
Boards of Canada,Grizzly Bear
Benny Benassi,Avicii
The Rapture,Atlas Genius
Kraftwerk,Orchestral Manoeuvres in the Dark
Boards of Canada,The 1975
DJ Shadow,MUTEMATH
Flying Lotus,Cashmere Cat
Neu!,The Associates
Tangerine Dream,Enya
Massive Attack,Alpha
Daft Punk,Avicii
Four Tet,Grizzly Bear
Ryuichi Sakamoto,Orchestral Manoeuvres in the Dark
Daft Punk,Chromeo
Tricky,Garbage
Kraftwerk,DJ Shadow
Yello,808 State
Frankie Knuckles,Todd Terry
DJ Shadow,Mr. Scruff
Daft Punk,Skrillex
Justice,Skrillex
Kraftwerk,Cybotron
Flying Lotus,Baths
Morcheeba,Hot Chip
Eric Prydz,Avicii
Kraftwerk,Moby
Moodymann,Romare
Kraftwerk,Destructo
Kraftwerk,M/A/R/R/S
Popol Vuh,Deva Premal
Ryuichi Sakamoto,Moby
Yellow Magic Orchestra,Orchestral Manoeuvres in the Dark
Daft Punk,Destructo
Tangerine Dream,808 State
Air,Simian
Vangelis,Medwyn Goodall
Tangerine Dream,The The
TiÃ«sto,Moti
Kraftwerk,David Bowie
Kraftwerk,Ratatat
Fat Freddy's Drop,Jordan Rakei
Aphex Twin,Major Lazer
Death in Vegas,Klaxons
Avicii,Kygo
The Shamen,Klaxons
The Rapture,Klaxons
Kraftwerk,Yazoo
Popol Vuh,Enya
Vangelis,Enya
Frankie Knuckles,Larry Heard
Death in Vegas,The Rapture
Kraftwerk,The Cars
M.I.A.,Sleigh Bells
Air,Justice
Todd Edwards,Justice
Alpha,Phantogram
Yellow Magic Orchestra,808 State
Kraftwerk,808 State
UNKLE,Klaxons
808 State,Ladytron
Underworld,The Rapture
Yellow Magic Orchestra,The The
Morcheeba,Zero 7
Kraftwerk,Man Parrish
Massive Attack,Bowery Electric
M People,Kylie Minogue
Kraftwerk,The The
Fatboy Slim,The Knocks
Ryuichi Sakamoto,Zero 7
Groove Armada,Ladytron
Massive Attack,UNKLE
Air,Zero 7
Air,SÃ©bastien Tellier
UNKLE,Zero 7
Daft Punk,The Knocks
Ladytron,Big Data
Kraftwerk,Rammstein
Nightmares on Wax,UNKLE
