year,danceability
1995,0.633
1997,0.592
1997,0.432
2004,0.765
2005,0.576
1994,0.739
1995,0.677
1994,0.432
1999,0.59
1999,0.648
1999,0.553
2004,0.515
2014,0.496
2019,0.571
2000,0.835
2000,0.721
2000,0.656
2008,0.59
2008,0.851
2008,0.657
2008,0.791
2009,0.607
2009,0.791
2010,0.538
2010,0.581
1992,0.527
1992,0.506
1992,0.538
1992,0.442
1992,0.565
1992,0.594
1983,0.289
1983,0.507
1983,0.519
1990,0.542
1992,0.629
2000,0.258
2014,0.475
2018,0.618
2014,0.467
2014,0.458
2014,0.455
2014,0.501
2020,0.687
2014,0.579
2014,0.378
2020,0.504
2020,0.316
2020,0.584
2014,0.686
2020,0.29
2014,0.518
2014,0.562
2015,0.585
2014,0.589
2015,0.507
2014,0.529
2015,0.537
2015,0.548
2018,0.746
2019,0.564
2020,0.592
2020,0.557
2014,0.515
2014,0.494
2014,0.572
2018,0.596
2015,0.664
2019,0.51
2019,0.749
2014,0.531
2018,0.611
2018,0.596
2018,0.458
2020,0.721
2014,0.571
2014,0.471
2020,0.643
2014,0.469
2014,0.562
2018,0.633
2020,0.576
2014,0.38
2014,0.624
2015,0.507
1986,0.669
1989,0.451
1998,0.564
1989,0.536
1978,0.532
1980,0.694
1978,0.562
1982,0.7
1982,0.69
2011,0.569
2013,0.441
2005,0.328
2011,0.409
2011,0.405
2013,0.441
2009,0.431
2010,0.343
2009,0.241
2019,0.433
2019,0.426
2008,0.227
2009,0.589
2008,0.299
2008,0.499
2008,0.554
2009,0.507
2005,0.316
2008,0.258
2008,0.321
2013,0.176
2009,0.584
2009,0.589
2009,0.507
2009,0.241
2011,0.342
2011,0.42
2008,0.625
2009,0.301
2008,0.371
2010,0.55
2011,0.379
2011,0.501
2008,0.211
2008,0.436
2009,0.419
2011,0.199
2011,0.471
2013,0.191
2013,0.296
2016,0.409
2008,0.318
2009,0.489
2008,0.35
2013,0.516
2009,0.283
2011,0.465
2013,0.448
2019,0.512
2020,0.471
2009,0.443
2009,0.354
2009,0.417
2011,0.285
1983,0.52
1986,0.498
2008,0.447
1982,0.509
2007,0.557
2010,0.514
1982,0.484
2008,0.507
1981,0.618
1982,0.367
1982,0.62
1982,0.466
1981,0.447
2002,0.537
1981,0.462
1982,0.507
1981,0.507
1981,0.612
2009,0.537
1982,0.493
2015,0.709
2014,0.447
1988,0.683
2000,0.457
2000,0.357
2003,0.536
2003,0.633
2003,0.143
2004,0.627
2000,0.424
2004,0.488
2003,0.735
2003,0.787
2004,0.641
2000,0.366
2000,0.518
2003,0.328
2000,0.295
2003,0.483
2003,0.542
2003,0.679
2004,0.445
2000,0.456
2000,0.585
2003,0.413
2003,0.765
2004,0.632
2000,0.616
2000,0.499
2000,0.415
2004,0.537
2000,0.562
2003,0.606
2008,0.265
2008,0.317
2008,0.217
2011,0.212
2008,0.555
2002,0.81
2002,0.583
1978,0.791
2006,0.835
2011,0.0804
1985,0.286
1986,0.652
1988,0.602
1985,0.681
1986,0.638
1988,0.67
1985,0.595
1986,0.448
1986,0.327
1985,0.475
1985,0.638
1985,0.67
1985,0.677
1985,0.573
1985,0.494
1990,0.394
1985,0.513
1985,0.526
1988,0.572
1986,0.646
1988,0.514
1985,0.669
1985,0.582
1980,0.501
1989,0.581
2006,0.744
1994,0.64
2005,0.675
2011,0.362
1998,0.844
2013,0.621
1999,0.803
2002,0.647
2001,0.701
1998,0.754
2019,0.848
1994,0.565
1994,0.59
1996,0.755
1999,0.675
1994,0.671
1994,0.792
1994,0.626
1999,0.702
1994,0.589
1994,0.697
1994,0.681
1994,0.538
2000,0.942
2000,0.785
2000,0.787
2000,0.944
1991,0.496
1993,0.567
1993,0.583
2009,0.491
2000,0.542
1991,0.789
2009,0.657
2007,0.61
1994,0.706
1992,0.524
1991,0.56
1991,0.533
2000,0.765
1992,0.781
2002,0.597
1992,0.654
1993,0.702
1995,0.609
2000,0.746
1976,0.539
1976,0.192
1977,0.57
1977,0.382
1979,0.721
1977,0.414
1980,0.572
1981,0.637
1981,0.388
1973,0.573
1975,0.688
1979,0.559
1980,0.593
1981,0.469
2008,0.645
1974,0.58
1981,0.325
1981,0.56
1980,0.466
1981,0.69
1973,0.735
1974,0.464
1977,0.454
1981,0.797
1981,0.458
2008,0.73
1974,0.448
1975,0.659
1975,0.491
1981,0.757
1981,0.812
1974,0.559
1974,0.548
1974,0.591
1975,0.656
1981,0.874
2008,0.344
2008,0.409
2008,0.503
2012,0.711
1973,0.428
1974,0.614
1975,0.417
1977,0.632
1981,0.431
1981,0.766
2008,0.723
2008,0.706
2008,0.429
1974,0.441
1975,0.75
1976,0.539
1976,0.353
1977,0.685
1979,0.747
1979,0.526
1980,0.764
1980,0.457
1980,0.677
1974,0.473
1975,0.416
1976,0.55
1977,0.288
1977,0.66
1979,0.707
1979,0.55
1981,0.475
2008,0.512
1974,0.451
1974,0.445
1975,0.468
1976,0.529
1976,0.782
1979,0.722
1979,0.701
1980,0.29
1981,0.652
1981,0.827
2008,0.695
1973,0.558
1974,0.867
1975,0.309
1975,0.502
1976,0.207
1976,0.562
1979,0.716
1980,0.508
1980,0.706
1980,0.656
1980,0.509
1981,0.719
1981,0.889
2008,0.393
1975,0.649
1976,0.661
1976,0.557
1977,0.485
1977,0.484
1981,0.616
1973,0.583
1973,0.579
1981,0.715
1981,0.829
1975,0.402
1979,0.585
1979,0.475
1979,0.844
1981,0.801
1981,0.887
1993,0.552
2008,0.756
2008,0.703
1974,0.605
1974,0.481
1981,0.626
2008,0.511
1979,0.605
1976,0.568
1980,0.18
1993,0.463
2012,0.508
1957,0.423
2000,0.74
1982,0.608
1982,0.677
1982,0.641
1982,0.731
1982,0.736
1985,0.719
1987,0.734
1982,0.513
1985,0.728
2017,0.688
1978,0.512
1983,0.503
1990,0.449
2014,0.572
1978,0.157
1978,0.274
1983,0.479
1983,0.487
1992,0.255
1978,0.55
1983,0.3
1985,0.429
2010,0.415
1985,0.405
1985,0.443
2010,0.479
1983,0.274
1985,0.484
1992,0.252
1988,0.468
1992,0.469
1992,0.466
1992,0.304
2000,0.494
1992,0.468
1992,0.322
1992,0.461
1988,0.432
1995,0.475
1995,0.607
2008,0.501
1988,0.602
1992,0.46
1976,0.754
1976,0.668
1976,0.456
1976,0.62
1977,0.29
1977,0.493
1979,0.573
1979,0.511
1979,0.525
1979,0.487
1980,0.31
1980,0.532
1980,0.457
1980,0.389
1980,0.576
1980,0.421
1981,0.371
1984,0.572
1986,0.529
1986,0.514
1986,0.371
1990,0.501
1990,0.65
1990,0.454
1976,0.561
1976,0.586
1976,0.431
1977,0.603
1977,0.602
1977,0.441
1978,0.543
1978,0.696
1978,0.524
1979,0.531
1979,0.51
1979,0.233
1980,0.532
1980,0.525
1980,0.4
1986,0.383
1988,0.372
1990,0.551
2008,0.547
1976,0.646
1976,0.583
1979,0.25
1980,0.417
1981,0.514
1983,0.491
1985,0.536
1985,0.462
1995,0.481
2000,0.588
1976,0.634
1976,0.465
1976,0.568
1978,0.175
1979,0.476
1979,0.648
1990,0.408
1995,0.475
1976,0.691
1976,0.574
1976,0.403
1978,0.513
1978,0.491
1981,0.479
1985,0.491
2010,0.493
1976,0.476
1976,0.546
1976,0.551
1977,0.493
1977,0.432
1977,0.401
1978,0.605
1978,0.266
1981,0.272
1981,0.483
1981,0.509
1983,0.441
1985,0.475
1986,0.465
2008,0.518
1978,0.54
1978,0.422
1983,0.415
1985,0.322
1986,0.363
1986,0.736
1986,0.424
1986,0.543
1990,0.622
2009,0.569
2010,0.453
1978,0.391
1981,0.269
1981,0.379
1981,0.33
1984,0.581
1984,0.616
1990,0.432
1990,0.438
1978,0.257
1978,0.156
1981,0.589
1983,0.324
1988,0.395
1990,0.581
1978,0.282
1978,0.194
1983,0.368
1984,0.494
1984,0.7
1985,0.583
1990,0.454
1990,0.418
1983,0.403
1983,0.445
1985,0.394
1983,0.52
1983,0.391
1983,0.537
1981,0.354
1983,0.234
1981,0.397
1983,0.412
1982,0.236
1985,0.508
1983,0.42
1983,0.544
1982,0.431
1982,0.649
1982,0.429
1985,0.32
2005,0.423
2005,0.411
1978,0.525
1978,0.511
1987,0.517
1978,0.543
1989,0.58
1978,0.46
1978,0.449
1978,0.484
1989,0.532
1978,0.826
1987,0.519
1978,0.469
1978,0.582
1993,0.669
1998,0.721
1992,0.668
1992,0.785
1998,0.635
1993,0.65
1993,0.67
1993,0.785
1992,0.707
1993,0.808
1995,0.749
1993,0.798
1993,0.745
2008,0.802
1974,0.758
1974,0.717
1967,0.356
1967,0.251
1997,0.257
1991,0.621
1987,0.659
1988,0.49
1985,0.58
1983,0.619
1982,0.597
1982,0.624
1983,0.684
1982,0.586
1995,0.538
1982,0.535
1993,0.405
1996,0.788
1996,0.356
1993,0.396
1979,0.54
1993,0.513
1998,0.851
2008,0.649
2016,0.69
2008,0.774
2008,0.666
2016,0.293
2016,0.333
2016,0.419
2008,0.552
2011,0.559
2011,0.729
2011,0.61
2016,0.381
2008,0.621
2011,0.305
2011,0.618
2012,0.346
2016,0.481
2016,0.69
2016,0.587
2008,0.802
2008,0.451
2010,0.73
2011,0.64
2011,0.464
2016,0.596
2008,0.703
2008,0.354
2011,0.69
2008,0.842
2011,0.706
2016,0.396
2011,0.411
2014,0.727
2015,0.481
2007,0.522
2008,0.562
2011,0.548
2007,0.566
2008,0.559
2016,0.721
2010,0.558
2016,0.381
2001,0.383
2001,0.424
2002,0.482
1995,0.335
1995,0.655
2004,0.798
1981,0.525
1981,0.643
1981,0.432
1981,0.385
1981,0.496
1981,0.678
1981,0.471
1981,0.343
1981,0.231
1981,0.441
1981,0.307
1981,0.363
1981,0.397
1981,0.492
1981,0.461
1981,0.233
2014,0.849
1992,0.458
1983,0.858
1992,0.787
1983,0.406
1966,0.628
1980,0.425
1985,0.386
1987,0.516
1988,0.409
1989,0.469
1994,0.436
1994,0.56
1977,0.252
1980,0.629
1980,0.599
1989,0.336
1997,0.487
1977,0.332
1979,0.329
1979,0.492
1987,0.475
1993,0.5
1979,0.51
1989,0.458
2001,0.579
1979,0.495
1980,0.238
1980,0.326
1985,0.462
1987,0.418
1987,0.328
1989,0.27
1997,0.36
2007,0.429
1977,0.475
1977,0.465
1977,0.605
1987,0.601
1989,0.519
1994,0.615
1994,0.484
1994,0.417
2002,0.242
1977,0.484
1989,0.463
1993,0.411
1977,0.411
1978,0.314
1987,0.575
1993,0.452
1978,0.426
1979,0.312
1979,0.461
1985,0.35
1987,0.391
1993,0.418
1994,0.288
1994,0.341
2001,0.363
1978,0.212
1978,0.324
1985,0.371
1985,0.317
1986,0.752
1994,0.329
1994,0.587
1998,0.418
1973,0.307
1974,0.565
1974,0.359
1975,0.38
1975,0.653
1976,0.426
1986,0.759
1987,0.54
1987,0.239
1987,0.579
1993,0.37
1993,0.445
1998,0.383
1998,0.39
1975,0.219
1976,0.517
1980,0.409
1993,0.308
1993,0.399
1994,0.633
1973,0.426
1975,0.444
1975,0.436
1977,0.347
1989,0.47
1989,0.617
1994,0.449
1997,0.431
1973,0.453
1974,0.554
1974,0.351
1975,0.453
1989,0.443
1993,0.569
1994,0.522
2001,0.517
1973,0.553
1975,0.534
1975,0.293
1976,0.379
1977,0.334
1980,0.473
1997,0.463
1973,0.648
1973,0.455
1974,0.278
1974,0.493
1975,0.357
1976,0.326
1976,0.332
1979,0.269
1980,0.51
1974,0.618
1974,0.414
1976,0.483
1994,0.493
1976,0.299
1976,0.466
1980,0.272
1982,0.507
1987,0.607
1997,0.612
1973,0.568
1973,0.475
1976,0.171
1989,0.536
1993,0.609
1980,0.354
1997,0.454
2001,0.387
2003,0.532
2000,0.268
2003,0.285
2003,0.399
1999,0.286
2000,0.367
2003,0.384
2006,0.467
2000,0.326
2000,0.254
1999,0.422
2000,0.247
2003,0.46
2004,0.482
1996,0.454
1997,0.304
1999,0.294
2003,0.434
2003,0.359
1999,0.386
2003,0.315
2006,0.308
2003,0.389
1999,0.232
2003,0.412
2003,0.497
2000,0.396
2006,0.678
2003,0.555
2006,0.592
2001,0.638
1997,0.587
1997,0.591
1992,0.456
1997,0.612
1997,0.707
1989,0.733
1989,0.727
1997,0.704
1997,0.713
1989,0.693
1989,0.846
1995,0.663
2006,0.383
2007,0.422
2003,0.592
2002,0.554
2002,0.45
2007,0.555
2002,0.623
2002,0.466
2011,0.448
2000,0.506
1982,0.245
1986,0.375
1986,0.324
1986,0.388
1981,0.494
1981,0.353
1981,0.239
1981,0.226
1981,0.244
1981,0.152
1981,0.293
1982,0.197
1981,0.24
1981,0.207
1984,0.377
1986,0.204
1998,0.218
1960,0.701
1960,0.642
1985,0.588
1961,0.535
1961,0.732
1962,0.522
1959,0.586
1961,0.598
1959,0.663
1961,0.666
1962,0.681
1959,0.551
1961,0.437
1961,0.424
1962,0.69
1985,0.378
1959,0.636
1961,0.578
1961,0.548
1961,0.372
1962,0.579
1962,0.629
1962,0.564
1962,0.574
1951,0.553
1951,0.508
1951,0.621
1951,0.662
1951,0.628
1951,0.529
1951,0.645
1951,0.467
1951,0.51
1951,0.659
1951,0.542
1951,0.69
1951,0.567
1951,0.664
1951,0.693
1951,0.781
1960,0.524
1951,0.528
1951,0.677
1951,0.551
1951,0.539
1951,0.655
1951,0.568
1951,0.645
1951,0.68
1951,0.541
1951,0.674
1951,0.637
1955,0.523
1955,0.594
1955,0.498
1955,0.658
1960,0.724
1951,0.595
1951,0.589
1951,0.681
1951,0.625
1951,0.682
1955,0.513
1955,0.547
1955,0.571
1955,0.635
1955,0.517
1959,0.616
1960,0.622
1960,0.597
1960,0.494
1960,0.648
1987,0.311
1960,0.685
1960,0.623
1961,0.485
1986,0.489
1986,0.627
1992,0.51
1986,0.671
1999,0.576
2003,0.883
1999,0.902
2002,0.771
1999,0.922
2002,0.724
1999,0.612
2004,0.341
1995,0.646
1999,0.616
1982,0.511
1982,0.505
2003,0.392
1981,0.328
1981,0.586
2018,0.388
1995,0.338
1999,0.529
1985,0.491
2003,0.423
1985,0.474
1980,0.512
1980,0.583
1982,0.434
1980,0.39
1981,0.396
1981,0.344
1991,0.371
1993,0.401
1986,0.565
2003,0.503
1981,0.323
1982,0.413
1982,0.53
1980,0.477
1981,0.448
1982,0.348
1985,0.392
2003,0.386
2003,0.59
1980,0.391
1981,0.472
2004,0.436
1998,0.641
1998,0.504
1998,0.449
1998,0.468
1999,0.595
2000,0.463
2004,0.505
1998,0.516
1998,0.435
1998,0.327
2000,0.33
2004,0.525
1998,0.516
1998,0.128
1998,0.565
2001,0.608
2004,0.878
2008,0.772
2008,0.665
2008,0.856
2008,0.809
2004,0.818
2006,0.795
2005,0.899
2006,0.683
2004,0.903
2005,0.833
2006,0.472
2006,0.859
2010,0.565
2007,0.709
2005,0.503
2006,0.801
2008,0.772
2007,0.699
2004,0.629
2006,0.756
2011,0.742
2007,0.701
2008,0.432
2008,0.852
2004,0.632
2005,0.682
2006,0.939
2006,0.798
2006,0.866
2007,0.84
2008,0.832
2006,0.709
2006,0.828
2007,0.727
2008,0.949
2008,0.471
2004,0.818
2005,0.901
2007,0.733
2010,0.444
2010,0.719
2006,0.633
2007,0.666
2007,0.639
2006,0.939
2006,0.621
2007,0.73
2008,0.821
2005,0.634
2008,0.711
2004,0.608
2006,0.866
2006,0.781
1988,0.762
1992,0.635
1988,0.655
1988,0.693
1988,0.578
1988,0.586
1988,0.841
1988,0.694
1930,0.321
1930,0.383
1930,0.391
1930,0.489
1930,0.652
1930,0.337
1930,0.419
1930,0.582
1930,0.46
1930,0.314
1930,0.435
1930,0.621
1930,0.419
1930,0.593
1930,0.609
1930,0.674
1930,0.336
1930,0.509
1990,0.375
1984,0.372
1930,0.411
1930,0.477
1930,0.648
1930,0.481
1930,0.62
1930,0.187
1998,0.378
1977,0.316
1977,0.328
1977,0.355
1977,0.475
1977,0.71
1977,0.42
1969,0.714
2001,0.785
1971,0.804
1971,0.601
1969,0.743
1971,0.614
1973,0.843
1973,0.676
2003,0.762
1969,0.714
1971,0.766
1971,0.854
1973,0.488
1973,0.705
1974,0.661
1974,0.744
1974,0.472
1976,0.451
2005,0.794
1969,0.531
1973,0.851
1974,0.548
1974,0.5
1987,0.773
1974,0.84
1969,0.553
1977,0.827
1971,0.772
1972,0.756
1972,0.822
1972,0.458
1972,0.712
1974,0.786
1971,0.848
1972,0.527
1972,0.523
1973,0.815
1974,0.747
1975,0.665
1971,0.768
1972,0.605
1972,0.775
1972,0.641
1973,0.683
1973,0.722
1989,0.741
1972,0.685
1973,0.711
1974,0.627
1975,0.499
1972,0.65
1972,0.654
1977,0.366
1972,0.825
1972,0.644
1972,0.574
1975,0.777
1975,0.825
1975,0.702
1971,0.79
1972,0.801
1972,0.796
1972,0.653
1975,0.733
1975,0.771
1975,0.817
1976,0.771
1973,0.719
1975,0.676
1975,0.796
1967,0.566
1971,0.793
1973,0.708
1975,0.689
1975,0.616
1977,0.55
1968,0.29
1968,0.261
1963,0.435
1964,0.619
1963,0.39
1964,0.454
1968,0.278
1963,0.337
1963,0.33
1963,0.606
1964,0.675
1966,0.419
1967,0.491
1983,0.615
1980,0.569
1983,0.708
1981,0.519
1981,0.683
1986,0.602
2008,0.63
1976,0.742
1976,0.68
1977,0.644
1980,0.705
1980,0.606
1981,0.674
1983,0.726
1981,0.571
1983,0.623
1984,0.913
1983,0.761
1975,0.789
1984,0.873
1986,0.625
1981,0.597
1983,0.58
1984,0.487
1981,0.749
1976,0.523
1981,0.678
1983,0.913
1981,0.285
1985,0.812
1968,0.233
1968,0.614
1968,0.501
1968,0.26
1968,0.314
1964,0.444
1968,0.477
1968,0.382
1968,0.53
1972,0.431
1968,0.272
1968,0.452
1968,0.357
1972,0.488
1965,0.37
1965,0.2
1965,0.273
1992,0.174
1965,0.25
1992,0.478
1965,0.414
1963,0.386
1965,0.519
1963,0.29
1965,0.149
1991,0.382
1965,0.512
1976,0.471
1970,0.384
1973,0.228
1976,0.722
1978,0.616
1978,0.616
1973,0.336
1975,0.641
1976,0.36
1976,0.595
1976,0.643
1976,0.54
1976,0.5
1978,0.694
1991,0.531
1978,0.658
1991,0.477
2012,0.626
2015,0.392
2012,0.442
2015,0.382
2012,0.472
2015,0.381
2012,0.434
2012,0.574
2013,0.693
2015,0.628
2015,0.548
2015,0.606
2012,0.446
1980,0.36
1986,0.458
1991,0.588
1997,0.777
1986,0.589
1986,0.656
1993,0.479
1982,0.537
2004,0.626
1982,0.558
1983,0.214
1984,0.424
1984,0.474
1986,0.659
1986,0.388
2004,0.751
2013,0.48
1982,0.713
1982,0.567
1985,0.496
1986,0.546
1990,0.632
1992,0.694
2005,0.748
2005,0.747
1980,0.735
1980,0.384
1984,0.724
1986,0.309
1990,0.711
2004,0.503
2014,0.431
1980,0.464
1980,0.517
1980,0.301
1980,0.703
1980,0.517
1980,0.747
1980,0.371
1985,0.431
1986,0.333
2004,0.388
2004,0.587
1986,0.298
1990,0.634
2004,0.753
1980,0.679
1980,0.631
1994,0.73
1980,0.39
1985,0.794
2005,0.485
1980,0.486
1980,0.748
1980,0.449
1980,0.661
1983,0.444
1992,0.757
2004,0.464
2005,0.464
1980,0.579
1980,0.627
1980,0.559
1980,0.668
1983,0.756
1984,0.584
1980,0.546
1980,0.366
1980,0.658
1981,0.626
1981,0.536
1986,0.578
1991,0.443
2004,0.522
1980,0.588
1981,0.671
1982,0.485
1984,0.481
1980,0.556
2004,0.486
1980,0.701
1980,0.524
1984,0.493
2004,0.661
2004,0.392
2005,0.466
1980,0.659
1980,0.778
1980,0.401
1980,0.455
1984,0.753
1980,0.388
1980,0.409
1985,0.65
1993,0.677
1980,0.646
1980,0.543
1989,0.494
1989,0.489
1994,0.501
1980,0.614
1980,0.207
1986,0.463
2004,0.637
2004,0.348
1981,0.75
1989,0.592
1991,0.654
2006,0.743
2006,0.348
1989,0.609
1990,0.483
1995,0.58
1999,0.618
2006,0.363
2010,0.591
1991,0.814
1991,0.671
1995,0.673
2003,0.74
2006,0.449
2010,0.753
1994,0.624
1995,0.738
1998,0.705
2006,0.542
1989,0.626
1990,0.656
1995,0.725
1999,0.816
2006,0.609
2010,0.63
2010,0.6
1990,0.599
1996,0.464
2006,0.34
2006,0.577
2006,0.543
2008,0.75
1992,0.75
2006,0.431
2006,0.435
2006,0.555
1991,0.743
1992,0.74
1994,0.609
1996,0.559
1992,0.651
1995,0.578
1995,0.63
1998,0.535
2003,0.561
2006,0.505
2010,0.679
1989,0.681
1989,0.579
1989,0.395
1989,0.699
1991,0.641
1992,0.606
1996,0.571
1989,0.538
1990,0.726
1991,0.559
2002,0.713
2008,0.73
2008,0.652
2010,0.553
2010,0.558
2010,0.563
2010,0.705
1989,0.667
1989,0.699
1991,0.595
1991,0.716
2008,0.683
2010,0.709
2010,0.709
1989,0.672
1994,0.673
2010,0.726
2010,0.816
1989,0.538
1990,0.59
1991,0.59
1994,0.724
1991,0.71
1991,0.663
2002,0.647
2003,0.621
2010,0.623
2010,0.675
1989,0.723
1991,0.731
1992,0.625
1995,0.606
1998,0.63
2010,0.656
1989,0.588
1989,0.813
1990,0.589
1992,0.579
1992,0.539
1994,0.676
1996,0.714
1996,0.572
1996,0.655
1998,0.762
2000,0.734
2006,0.677
1989,0.659
1992,0.722
1995,0.676
1999,0.693
2008,0.721
1994,0.604
2006,0.548
1958,0.47
1957,0.507
1957,0.46
1957,0.507
1957,0.399
1958,0.465
1958,0.409
1958,0.567
1958,0.432
1990,0.569
1957,0.789
1958,0.284
1998,0.169
2011,0.224
1992,0.0695
1994,0.256
1994,0.402
2012,0.25
1994,0.111
1999,0.191
2005,0.641
1995,0.534
1995,0.426
1995,0.386
1999,0.427
1995,0.387
1995,0.602
1998,0.375
2005,0.642
1995,0.238
1995,0.401
1998,0.392
1999,0.258
2005,0.662
2005,0.531
1999,0.279
1995,0.611
1995,0.53
1998,0.492
2005,0.621
1995,0.657
1995,0.665
1995,0.295
1995,0.408
1995,0.66
1995,0.482
1995,0.401
1998,0.672
1995,0.656
1995,0.562
2002,0.513
2005,0.38
1995,0.45
1995,0.396
1995,0.552
1999,0.308
1999,0.421
1995,0.645
1995,0.385
1995,0.551
1995,0.412
1995,0.251
2005,0.456
1989,0.754
1989,0.42
1967,0.341
1978,0.606
1980,0.684
1991,0.598
1978,0.771
1978,0.713
1986,0.656
1978,0.862
1997,0.537
1967,0.722
1967,0.839
1967,0.471
1967,0.723
1967,0.586
1967,0.543
1967,0.707
1967,0.689
1973,0.621
1967,0.683
1969,0.664
1967,0.792
1967,0.792
1968,0.402
1969,0.476
1967,0.836
1968,0.435
1973,0.626
1967,0.447
1967,0.48
1968,0.367
1967,0.608
1967,0.452
1973,0.758
1967,0.711
1967,0.84
1967,0.691
1967,0.78
1967,0.793
1979,0.704
1972,0.666
1973,0.623
1967,0.423
1969,0.442
1967,0.784
1973,0.66
2008,0.804
2008,0.788
2010,0.627
2008,0.749
1985,0.5
1982,0.315
1982,0.313
1982,0.317
1982,0.246
1982,0.465
1982,0.515
1982,0.363
1983,0.559
2001,0.481
2008,0.551
1993,0.464
1995,0.281
2011,0.41
1991,0.542
1997,0.608
1991,0.619
1997,0.59
2009,0.497
2001,0.532
1997,0.581
2001,0.677
2004,0.281
2020,0.466
2020,0.534
2020,0.534
2020,0.491
1993,0.602
1997,0.648
1997,0.629
1995,0.399
1944,0.55
1997,0.428
2004,0.629
1993,0.464
2006,0.76
1991,0.542
2001,0.665
1989,0.632
1989,0.455
2000,0.743
1983,0.581
1983,0.859
2003,0.626
2001,0.422
2004,0.312
2006,0.427
2006,0.192
1953,0.108
1946,0.145
1953,0.193
1935,0.247
1953,0.174
1953,0.0951
1953,0.173
1941,0.162
1941,0.177
1943,0.114
1943,0.19
1943,0.195
1943,0.177
1943,0.142
1943,0.162
1943,0.0591
1943,0.0638
1946,0.501
1941,0.186
1941,0.139
1943,0.16
1943,0.155
1943,0.129
1943,0.104
1943,0.215
1943,0.0689
1943,0.119
1943,0.112
1943,0.144
1943,0.118
1943,0.277
1943,0.153
1943,0.158
1943,0.163
1939,0.199
1941,0.131
1941,0.199
1943,0.137
1943,0.0764
1943,0.107
1941,0.169
1941,0.126
1941,0.206
1941,0.191
1941,0.162
1943,0.102
1943,0.23
1943,0.225
1943,0.256
1943,0.0812
1946,0.0944
1941,0.223
1941,0.163
1941,0.139
1941,0.161
1947,0
1941,0.151
1953,0.217
1941,0
1968,0.742
1996,0.317
1969,0.431
1976,0.351
1968,0.367
1969,0.549
1976,0.175
1968,0.288
1969,0.34
2005,0.447
1968,0.236
1968,0.23
1968,0.192
1971,0.219
1968,0.253
1996,0.418
1971,0.21
1976,0.352
1971,0.29
1971,0.362
1972,0.486
1973,0.333
1989,0.414
1991,0.47
1991,0.443
