danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,Genre
0.873,0.434,0.924,114.515,-13.388,0,7,0.124,0.000441,0.263,0.0577,0,259653,29,1984,1984,Vocal
0.625,0.786,0.809,97.265,-15.512,0,4,0.307,0.0000674,0.0435,0.0359,0,323800,34,1986,1986,Vocal
0.597,0.323,0.628,79.397,-15.648,1,5,0.56,0.0000224,0.628,0.0494,0,226067,51,1981,1981,Vocal
0.58,0.464,0.563,89.775,-13.252,1,2,0.19,0.00003,0.263,0.0339,0,258252,57,1983,1983,Vocal
0.487,0.192,0.26,62.086,-17.308,1,1,0.575,0.00000261,0.0759,0.0291,0,259533,54,1984,1984,Vocal
0.749,0.475,0.866,98.53,-13.875,1,8,0.147,0,0.175,0.0737,0,380267,50,1981,1981,Vocal
0.523,0.304,0.114,120.392,-12.081,1,3,0.689,0.0242,0.106,0.0333,0,338387,51,1976,6/15/76,Vocal
0.678,0.345,0.564,71.69,-17.268,0,1,0.434,0.0000381,0.254,0.0338,0,253933,38,1981,1981,Vocal
0.913,0.476,0.955,112.73,-13.823,1,0,0.283,0.00127,0.204,0.0531,0,252912,42,1983,1983,Vocal
0.285,0.294,0.264,206.128,-13.152,1,2,0.0868,0.000039,0.104,0.037,0,253133,37,1981,1981,Vocal
0.812,0.645,0.744,104.878,-12.265,0,9,0.411,0.0000162,0.168,0.086,0,226093,42,1985,1985,Vocal
0.37,0.328,0.246,87.582,-12.869,1,0,0.666,0.0649,0.125,0.0279,0,180533,24,1965,9/4/65,Vocal
0.2,0.351,0.283,92.722,-9.983,1,8,0.913,0,0.269,0.0307,0,154960,25,1965,9/4/65,Vocal
0.273,0.31,0.382,67.633,-12.31,1,10,0.618,0.227,0.238,0.0318,0,185627,23,1965,9/4/65,Vocal
0.174,0.438,0.589,185.048,-13.768,1,1,0.317,0.000187,0.148,0.0375,0,171267,40,1992,1/1/92,Vocal
0.25,0.37,0.385,81.6,-9.139,1,1,0.876,0.0000453,0.333,0.0312,0,191133,21,1965,9/4/65,Vocal
0.478,0.345,0.668,133.624,-13.321,1,0,0.0348,0.0000536,0.162,0.0296,0,176600,35,1992,1/1/92,Vocal
0.414,0.507,0.64,118.385,-9.003,1,5,0.34,0.0000311,0.261,0.0335,0,178333,22,1965,9/4/65,Vocal
0.386,0.343,0.375,99.959,-8.869,1,2,0.787,0.000039,0.0703,0.029,0,152133,16,1963,7/7/63,Vocal
0.519,0.481,0.48,109.246,-9.796,1,2,0.308,0.0000105,0.121,0.0283,0,166907,56,1965,9/4/65,Vocal
0.29,0.2,0.233,88.654,-12.748,1,8,0.894,0.000569,0.221,0.0275,0,163400,35,1963,7/7/63,Vocal
0.149,0.289,0.229,173.23,-12.772,1,10,0.882,0.000966,0.141,0.0351,0,174560,32,1965,9/4/65,Vocal
0.382,0.205,0.264,97.854,-14.904,1,0,0.92,0.00309,0.234,0.0326,0,177733,44,1991,1/1/91,Vocal
0.512,0.516,0.78,117.887,-10.339,1,0,0.649,0,0.292,0.0311,0,190707,29,1965,9/4/65,Vocal
0.288,0.363,0.241,67.846,-11.148,0,8,0.992,0.805,0.223,0.0376,0,115953,0,1936,7/25/36,Vocal
0.352,0.465,0.339,118.94,-9.459,1,11,0.989,0.0621,0.825,0.0597,0,406223,0,1936,7/25/36,Vocal
0.144,0.168,0.14,83.02,-12.561,1,0,0.943,0,0.104,0.0344,0,201640,17,1963,11/24/63,Vocal
0.205,0.153,0.181,89.408,-16.068,1,10,0.922,0.000572,0.115,0.0336,0,135000,17,1963,11/24/63,Vocal
0.212,0.108,0.134,83.498,-17.95,1,5,0.955,0.00145,0.0923,0.0319,0,165360,13,1963,12/10/63,Vocal
0.444,0.311,0.561,93.544,-14.811,1,7,0.673,0.000234,0.162,0.03,0,177533,20,1967,1967,Vocal
0.341,0.448,0.391,86.718,-11.536,1,1,0.878,0.00303,0.0953,0.0289,0,163973,34,1971,2/3/71,Vocal
0.183,0.344,0.345,80.265,-12.852,1,10,0.976,0.000152,0.103,0.034,0,208440,27,1972,1972,Vocal
0.763,0.353,0.883,127.617,-14.738,1,5,0.421,0.0000116,0.319,0.0673,0,143467,39,1991,2/19/91,Vocal
0.156,0.195,0.228,81.49,-15.129,1,4,0.912,0.00108,0.131,0.0344,0,170040,17,1962,1962,Vocal
0.4,0.406,0.386,96.603,-13.157,0,11,0.254,0.0605,0.0972,0.0276,0,213467,33,1971,2/3/71,Vocal
0.147,0.242,0.235,77.023,-13.38,1,2,0.847,0.0000876,0.31,0.0335,0,185733,7,1961,12/10/61,Vocal
0.281,0.248,0.13,92.375,-14.578,1,0,0.898,0.00675,0.113,0.0282,0,148267,17,1963,11/24/63,Vocal
0.208,0.184,0.347,80.261,-15.49,1,0,0.931,0,0.376,0.0303,0,187000,12,1963,1963,Vocal
0.5,0.365,0.13,116.346,-12.392,1,3,0.621,0.00169,0.0971,0.0295,0,204427,33,1971,2/3/71,Vocal
0.227,0.215,0.234,88.169,-15.334,1,7,0.912,0.0000248,0.415,0.0329,0,171000,7,1961,12/10/61,Vocal
0.698,0.361,0.53,75.619,-12.782,1,5,0.782,0.00000143,0.152,0.0276,0,134960,14,1963,11/24/63,Vocal
0.221,0.339,0.213,98.767,-11.592,1,0,0.617,0.00000284,0.113,0.0295,0,145573,24,1967,1967,Vocal
0.404,0.573,0.856,105.831,-9.792,1,3,0.289,0,0.243,0.028,0,158400,31,1971,2/3/71,Vocal
0.245,0.291,0.275,78.203,-14.204,1,5,0.738,0.000087,0.11,0.0287,0,177760,31,1971,2/3/71,Vocal
0.163,0.2,0.152,79.823,-13.642,0,1,0.894,0.0000252,0.534,0.0319,0,202293,5,1961,12/10/61,Vocal
0.481,0.636,0.893,149.644,-8.907,1,10,0.793,0,0.124,0.0498,0,125000,13,1963,11/24/63,Vocal
0.219,0.259,0.206,94.764,-15.642,1,1,0.617,0.00014,0.0997,0.0308,0,165400,14,1959,1959,Vocal
0.634,0.431,0.667,124.425,-9.92,1,0,0.401,0.000069,0.652,0.0364,0,192733,47,2004,2004,Vocal
0.205,0.172,0.138,83.084,-12.564,1,0,0.946,0,0.106,0.032,0,201480,0,1945,1945,Vocal
0.16,0.208,0.11,72.903,-15.325,0,2,0.944,0.0123,0.126,0.0331,0,193947,16,1963,12/10/63,Vocal
0.725,0.432,0.708,114.083,-11.923,0,5,0.861,0,0.121,0.0421,0,234973,13,1963,11/24/63,Vocal
0.415,0.291,0.117,118.009,-14.969,1,4,0.838,0.00424,0.0829,0.0369,0,188067,30,1973,1973,Vocal
0.244,0.237,0.229,79.577,-10.845,1,4,0.879,0.0000198,0.117,0.0299,0,170267,13,1962,1962,Vocal
0.166,0.169,0.349,83.387,-13.16,1,7,0.876,0,0.329,0.0304,0,169933,12,1963,11/24/63,Vocal
0.27,0.377,0.491,115.281,-12.66,1,7,0.659,0.000134,0.659,0.0332,0,192122,22,1970,1970,Vocal
0.198,0.479,0.575,76.086,-13.888,1,1,0.846,0.00914,0.121,0.0397,0,200160,22,1973,1973,Vocal
0.284,0.198,0.275,94.457,-15.692,1,1,0.825,0.0000167,0.122,0.0316,0,164800,29,1986,7/11/86,Vocal
0.23,0.158,0.0994,139.891,-14.869,1,5,0.868,0.0000903,0.103,0.0361,0,178533,4,1961,12/10/61,Vocal
0.287,0.771,0.752,196.828,-7.483,1,5,0.828,0.00000252,0.337,0.0496,0,120507,6,1962,1962,Vocal
0.21,0.326,0.323,99.938,-13.266,1,11,0.783,0,0.169,0.0317,0,190027,13,1964,7/22/64,Vocal
0.208,0.184,0.196,84.492,-13.283,1,8,0.886,0.000705,0.105,0.0325,0,195733,34,1990,11/19/90,Vocal
0.278,0.141,0.176,101.747,-13.719,1,10,0.861,0.002,0.382,0.031,0,150200,32,1991,2/19/91,Vocal
0.281,0.212,0.195,95.555,-15.513,1,6,0.86,0.0000773,0.119,0.031,0,162893,64,1962,1962,Vocal
0.39,0.239,0.472,90.387,-15.452,0,7,0.854,0.00000127,0.0565,0.0274,0,154867,52,1962,1962,Vocal
0.24,0.598,0.776,202.082,-8.435,1,7,0.766,0,0.117,0.037,0,151933,51,1963,11/24/63,Vocal
0.227,0.289,0.193,110.039,-14.085,1,8,0.872,0.00000171,0.148,0.0335,0,171227,45,1962,1962,Vocal
0.642,0.421,0.556,124.447,-10.137,1,0,0.332,0.00000469,0.631,0.0349,0,193387,49,1967,1967,Vocal
0.593,0.393,0.845,109.343,-17.007,0,5,0.708,0,0.118,0.0409,0,128200,7,1949,1949,Vocal
0.173,0.221,0.302,85.629,-14.676,0,2,0.838,0.0000105,0.0985,0.0304,0,193533,36,1962,1962,Vocal
0.129,0.398,0.295,176.975,-9.054,1,10,0.781,0.0905,0.158,0.0329,0,153773,32,1962,1962,Vocal
0.505,0.451,0.744,74.347,-10.193,0,9,0.727,0,0.233,0.0329,0,156867,35,1963,11/24/63,Vocal
0.234,0.526,0.649,201.739,-11.656,1,2,0.871,0.00000234,0.122,0.0411,0,151000,33,1963,1963,Vocal
0.571,0.634,0.805,109.575,-9.155,0,5,0.724,0,0.0864,0.0537,0,128400,36,1965,1965,Vocal
0.259,0.473,0.232,84.897,-10.187,1,6,0.512,0.0000015,0.4,0.0324,0,189067,56,1971,2/3/71,Vocal
0.602,0.44,0.61,116.077,-13.097,1,4,0.809,0,0.419,0.0373,0,179027,33,1962,1962,Vocal
0.25,0.102,0.0769,72.412,-16.175,1,9,0.795,0.00015,0.397,0.0334,0,199600,32,1962,1962,Vocal
0.239,0.302,0.252,81.802,-15.05,1,3,0.853,0.0000415,0.148,0.0347,0,173667,30,1962,1962,Vocal
0.346,0.232,0.253,111.548,-14.898,1,8,0.774,0,0.104,0.0315,0,154040,31,1962,1962,Vocal
0.344,0.057,0.109,85.622,-18.311,1,0,0.944,0.000654,0.149,0.0318,0,187600,31,1962,1962,Vocal
0.301,0.377,0.433,109.83,-13.495,0,7,0.842,0.00000943,0.153,0.0365,0,138893,35,1963,12/10/63,Vocal
0.532,0.182,0.723,91.02,-12.245,1,0,0.966,0.00316,0.0476,0.0325,0,141933,26,1963,12/10/63,Vocal
0.428,0.374,0.468,102.171,-14.527,1,9,0.822,0.000121,0.155,0.0281,0,177467,38,1965,7/22/65,Vocal
0.204,0.199,0.161,89.642,-14.633,0,5,0.907,0.414,0.105,0.0327,0,182173,41,1966,7/22/66,Vocal
0.238,0.244,0.323,84.642,-13.992,1,7,0.914,0.0968,0.122,0.0326,0,173480,38,1966,7/22/66,Vocal
0.429,0.602,0.632,157.103,-9.957,1,8,0.719,0.0000976,0.324,0.0335,0,156080,48,1967,1967,Vocal
0.177,0.365,0.467,185.564,-13.422,1,8,0.684,0.00103,0.291,0.0335,0,156067,42,1967,1967,Vocal
0.413,0.164,0.845,183.178,-14.579,1,0,0.914,0.000014,0.0883,0.0378,0,142000,43,1970,1970,Vocal
0.188,0.111,0.181,97.379,-17.287,1,5,0.778,0,0.524,0.0321,0,163067,2,1936,1936,Vocal
0.251,0.259,0.142,81.324,-12.076,1,3,0.739,0.0000486,0.193,0.03,0,215853,30,1962,1962,Vocal
0.229,0.274,0.261,89.769,-12.961,1,10,0.761,0.00359,0.106,0.0316,0,156333,36,1968,5/15/68,Vocal
0.191,0.0707,0.0525,89.848,-16.218,1,0,0.916,0.00000228,0.129,0.0322,0,219027,26,1962,1962,Vocal
0.213,0.233,0.351,82.504,-10.745,1,0,0.914,0,0.265,0.0286,0,187000,24,1963,11/24/63,Vocal
0.217,0.182,0.0871,66.075,-15.407,1,5,0.93,0.627,0.165,0.0335,0,164653,34,1966,12/6/66,Vocal
0.264,0.202,0.256,146.008,-15.677,0,0,0.774,0.000128,0.287,0.0305,0,182840,44,1973,1973,Vocal
0.41,0.278,0.803,180.789,-8.719,1,0,0.911,0.000239,0.077,0.0386,0,140173,20,1962,1962,Vocal
0.381,0.0716,0.156,116.404,-19.252,1,0,0.939,0.0000456,0.134,0.0345,0,188200,24,1962,1962,Vocal
0.127,0.414,0.338,205.249,-13.781,1,0,0.774,0.0000672,0.153,0.0387,0,182840,25,1962,1962,Vocal
0.462,0.402,0.7,148.956,-13.792,1,0,0.825,0,0.189,0.0353,0,157000,20,1963,1963,Vocal
0.231,0.252,0.217,88.986,-12.342,0,9,0.905,0.0000581,0.298,0.0298,0,182293,20,1963,12/10/63,Vocal
0.257,0.193,0.16,79.956,-16.665,0,8,0.906,0.00433,0.108,0.0314,0,159560,31,1965,7/22/65,Vocal
0.278,0.141,0.176,101.747,-13.719,1,10,0.861,0.002,0.382,0.031,0,150200,47,1992,3/30/92,Vocal
0.247,0.173,0.141,80.136,-17.113,1,2,0.898,0.00197,0.177,0.0347,0,174267,13,1961,12/10/61,Vocal
0.343,0.47,0.816,95.308,-10.751,1,0,0.776,0,0.315,0.0386,0,101493,18,1963,12/10/63,Vocal
0.265,0.356,0.509,110.761,-12.721,1,7,0.694,0,0.656,0.0321,0,192467,36,1969,4/21/69,Vocal
0.241,0.554,0.721,200.81,-10.085,1,7,0.775,0,0.151,0.0377,0,151827,0,1953,1953,Vocal
0.29,0.639,0.219,79.231,-7.441,1,10,0.247,0.0162,0.0934,0.0392,0,301707,15,1962,1962,Vocal
0.265,0.301,0.184,136.426,-11.589,0,5,0.871,0,0.127,0.0313,0,152693,19,1963,11/24/63,Vocal
0.487,0.314,0.282,96.682,-12.086,1,0,0.748,0,0.0928,0.0253,0,171467,20,1965,1965,Vocal
0.41,0.13,0.403,82.438,-16.79,1,2,0.892,0.0000192,0.0699,0.0297,0,147427,29,1966,1966,Vocal
0.239,0.285,0.227,78.498,-13.851,0,9,0.843,0,0.301,0.033,0,153573,35,1969,10/6/69,Vocal
0.294,0.232,0.14,93.396,-11.483,1,8,0.839,0,0.402,0.0325,0,267893,19,1966,1966,Vocal
0.43,0.122,0.179,120.557,-14.709,1,8,0.983,0.0000234,0.263,0.0406,0,181907,12,1959,9/16/59,Vocal
0.613,0.27,0.507,116.384,-10.386,0,5,0.899,0.0000106,0.134,0.0415,0,145587,23,1959,9/16/59,Vocal
0.24,0.585,0.418,150.295,-15.558,1,10,0.822,0.0644,0.572,0.385,0,176560,28,1971,1/1/71,Vocal
0.318,0.325,0.469,109.523,-11.209,1,9,0.715,0.843,0.0591,0.0323,0,127267,34,1971,1/1/71,Vocal
0.142,0.444,0.221,180.572,-16.769,1,2,0.791,0.548,0.485,0.295,0,190307,30,1971,1/1/71,Vocal
0.337,0.343,0.481,138.524,-15.791,0,10,0.795,0.00266,0.678,0.0859,0,70427,30,1971,1/1/71,Vocal
0.333,0.299,0.169,113.909,-15.299,1,11,0.835,0.816,0.338,0.0672,0,126267,29,1971,1/1/71,Vocal
0.51,0.156,0.264,88.71,-14.076,1,2,0.803,0.0000857,0.0767,0.0457,0,146067,22,1968,9/1/68,Vocal
0.211,0.323,0.191,63.827,-13.577,1,8,0.769,0.0000985,0.501,0.0803,0,327173,36,1972,10/1/72,Vocal
0.46,0.214,0.349,128.835,-12.184,1,5,0.804,0,0.322,0.0422,0,470973,43,1994,1/1/94,Vocal
0.577,0.703,0.851,158.889,-9.113,1,0,0.252,0,0.938,0.472,0,235640,31,1976,1976-11,Vocal
0.27,0.596,0.413,149.258,-9.435,1,2,0.592,0.00000873,0.987,0.153,0,289733,32,1976,1976-11,Vocal
0.196,0.199,0.176,71.839,-13.724,1,8,0.972,0.000576,0.117,0.0359,0,206000,29,1967,1967-10,Vocal
0.374,0.222,0.285,110.671,-14.841,1,10,0.859,0.0000193,0.086,0.0404,0,338560,21,1968,9/1/68,Vocal
0.357,0.4,0.278,140.425,-9.592,1,11,0.604,0,0.928,0.0466,0,230693,31,1976,1976-11,Vocal
0.377,0.269,0.196,82.302,-16.766,1,4,0.294,0.000478,0.144,0.0268,0,247467,39,1980,9/23/80,Vocal
0.37,0.188,0.192,115.142,-16.422,1,9,0.95,0.0535,0.0846,0.0335,0,184493,33,1981,1981,Vocal
0.264,0.168,0.183,127.212,-20.25,1,11,0.916,0.00232,0.085,0.0362,0,241760,39,1988,10/12/88,Vocal
0.235,0.124,0.154,88.667,-19.336,1,8,0.935,0.000456,0.0849,0.0321,0,257587,41,1988,10/12/88,Vocal
0.342,0.24,0.359,98.768,-14.033,1,1,0.719,0,0.269,0.0387,0,201973,15,1963,1963-08,Vocal
0.362,0.491,0.794,157.272,-13.299,0,3,0.756,0,0.508,0.0625,0,120733,20,1966,1966-03,Vocal
0.755,0.672,0.949,124.063,-11.844,0,5,0.68,0.154,0.045,0.457,0,120693,20,1968,9/1/68,Vocal
0.487,0.767,0.606,129.733,-7.521,0,5,0.349,0,0.967,0.0817,0,193667,29,1976,1976-11,Vocal
0.307,0.162,0.0814,102.863,-17.398,1,8,0.875,0.0000348,0.0866,0.0363,0,291640,33,1983,11/8/83,Vocal
0.182,0.254,0.134,70.593,-12.11,1,10,0.938,0.00117,0.192,0.0355,0,284093,40,1993,5/27/93,Vocal
0.376,0.164,0.36,75.415,-14.456,0,11,0.808,0,0.112,0.0956,0,221400,16,1963,1963-08,Vocal
0.334,0.289,0.275,75.214,-11.615,1,2,0.908,0,0.0825,0.0349,0,163533,18,1963,1963-08,Vocal
0.285,0.251,0.174,74.638,-13.753,1,5,0.833,0.00000129,0.0884,0.0334,0,225605,18,1964,1964-02,Vocal
0.393,0.506,0.381,94.223,-8.083,1,4,0.918,0,0.175,0.0512,0,177360,18,1964,1964-09,Vocal
0.236,0.274,0.17,101.351,-13.504,1,8,0.889,0,0.137,0.0327,0,188973,19,1965,1965-10,Vocal
0.0968,0.349,0.275,88.714,-12.139,1,3,0.716,0.775,0.294,0.0325,0,140400,19,1968,9/1/68,Vocal
0.51,0.225,0.388,137.301,-14.498,1,1,0.909,0.00889,0.0901,0.141,0,169867,19,1968,9/1/68,Vocal
0.305,0.295,0.185,139.8,-14.085,1,1,0.804,0.0000167,0.073,0.0392,0,248667,30,1981,1981,Vocal
0.549,0.245,0.312,107.126,-17.714,1,7,0.557,0.0000085,0.119,0.0277,0,309053,37,1988,10/12/88,Vocal
0.175,0.133,0.0911,64.257,-17.925,1,3,0.956,0.000258,0.333,0.0465,0,249427,14,1963,1963-08,Vocal
0.335,0.373,0.766,210.241,-11.394,1,0,0.688,0,0.345,0.0788,0,137067,16,1963,1963-08,Vocal
0.627,0.31,0.588,113.876,-11.317,0,5,0.551,0,0.241,0.0363,0,133640,15,1963,2/25/63,Vocal
0.23,0.362,0.12,114.872,-9.028,0,2,0.961,0.00000327,0.206,0.0341,0,186627,18,1964,1964-09,Vocal
0.304,0.224,0.212,102.66,-12.11,0,4,0.974,0.00000355,0.192,0.0353,0,176493,17,1965,1965-05,Vocal
0.268,0.254,0.321,214.027,-15.122,0,11,0.0505,0.00141,0.193,0.0309,0,274640,37,1980,9/23/80,Vocal
0.254,0.278,0.152,136.634,-15.89,1,9,0.865,0.000125,0.0897,0.0337,0,209493,31,1981,1981,Vocal
0.288,0.164,0.126,125.538,-13.675,1,1,0.96,0.00149,0.0658,0.042,0,209573,26,1985,1/1/85,Vocal
0.28,0.277,0.109,108.656,-11.608,1,3,0.736,0.00000997,0.12,0.0369,0,233373,51,2002,1/29/02,Vocal
0.565,0.147,0.602,91.96,-16.984,1,10,0.875,0,0.101,0.281,0,200733,8,1962,1962,Vocal
0.256,0.0289,0.172,133.467,-24.438,0,8,0.985,0.000117,0.141,0.0428,0,170600,16,1963,2/25/63,Vocal
0.297,0.197,0.13,85.768,-14.907,0,9,0.942,0.0000054,0.126,0.0346,0,223333,14,1963,2/25/63,Vocal
0.263,0.211,0.223,83.936,-17.162,1,11,0.788,0,0.365,0.04,0,171467,13,1963,1963-08,Vocal
0.438,0.237,0.387,96.064,-13.419,1,9,0.796,0,0.0993,0.0633,0,130467,14,1963,2/25/63,Vocal
0.269,0.191,0.151,72.599,-15.57,0,0,0.903,0.0000129,0.173,0.0317,0,172339,15,1964,1964-02,Vocal
0.338,0.112,0.103,64.501,-13.272,0,6,0.979,0.0000102,0.129,0.0348,0,199733,26,1974,1974-01,Vocal
0.304,0.703,0.222,72.183,-7.415,1,9,0.706,0,0.0642,0.11,0,203600,31,1985,1/1/85,Vocal
0.173,0.442,0.0869,83.066,-7.482,1,8,0.933,0.0000058,0.24,0.0353,0,163133,18,1967,10/16/67,Vocal
0.263,0.266,0.0712,84.469,-12.228,1,2,0.887,0.000663,0.0933,0.0357,0,229507,27,1974,1974-01,Vocal
0.484,0.469,0.307,169.678,-7.35,0,3,0.489,0.0000958,0.291,0.0257,0,231227,51,2002,1/29/02,Vocal
0.308,0.0669,0.102,68.352,-19.73,1,5,0.964,0.0000613,0.0768,0.0359,0,261133,14,1963,2/25/63,Vocal
0.14,0.179,0.137,82.199,-15.145,1,11,0.932,0.000101,0.178,0.0338,0,188507,14,1963,2/25/63,Vocal
0.776,0.376,0.918,102.373,-12.807,1,10,0.758,0,0.112,0.146,0,152760,14,1963,2/25/63,Vocal
0.466,0.349,0.542,125.34,-10.886,1,5,0.901,0,0.343,0.0465,0,167467,13,1965,1965-05,Vocal
0.615,0.372,0.786,123.309,-16.972,1,9,0.035,0.000377,0.122,0.0444,0,223027,36,1980,9/23/80,Vocal
0.256,0.239,0.366,175.571,-13.943,1,1,0.89,0,0.165,0.0393,0,287027,11,1963,1963-08,Vocal
0.314,0.156,0.22,153.242,-15.2,0,2,0.924,0.00000117,0.273,0.0409,0,180773,13,1963,2/25/63,Vocal
0.315,0.306,0.17,100.634,-9.426,1,2,0.914,0.00000892,0.121,0.0341,0,155533,12,1964,1964-09,Vocal
0.368,0.15,0.222,101.782,-17.658,1,6,0.948,0.00021,0.175,0.0324,0,166467,17,1965,1965-10,Vocal
0.349,0.427,0.273,126.029,-13.096,0,4,0.271,0.0000973,0.442,0.0365,0,233200,23,1972,1972,Vocal
